"AREA","RESIDENT_POPULATION","POPULATION_NOT_TAXED"
"Alabama",3061743,0
"Arizona",749587,0
"Arkansas",1909511,0
"California",10586223,0
"Colorado",1325089,0
"Connecticut",2007280,0
"Delaware",318085,0
"Florida",2771305,0
"Georgia",3444578,0
"Idaho",588637,0
"Illinois",8712176,0
"Indiana",3934224,0
"Iowa",2621073,0
"Kansas",1905299,0
"Kentucky",2944806,0
"Louisiana",2683516,0
"Maine",913774,0
"Maryland",2343001,0
"Massachusetts",4690514,0
"Michigan",6371766,0
"Minnesota",2982483,0
"Mississippi",2178914,0
"Missouri",3954653,0
"Montana",591024,0
"Nebraska",1325510,0
"Nevada",160083,0
"New Hampshire",533242,0
"New Jersey",4835329,0
"New Mexico",681187,0
"New York",14830192,0
"North Carolina",4061929,0
"North Dakota",619636,0
"Ohio",7946627,0
"Oklahoma",2233351,0
"Oregon",1521341,0
"Pennsylvania",10498012,0
"Rhode Island",791896,0
"South Carolina",2117027,0
"South Dakota",652740,0
"Tennessee",3291718,0
"Texas",7711194,0
"Utah",688862,0
"Vermont",377747,0
"Virginia",3318680,0
"Washington",2378963,0
"West Virginia",2005552,0
"Wisconsin",3434575,0
"Wyoming",290529,0
"Alaska",128643,0
"Hawaii",499794,0
"District of Columbia",802178,0
"Puerto Rico",2210703,0
