"AREA","RESIDENT_POPULATION","OVERSEAS_POPULATION"
"Alabama",3444165,31720
"Alaska",302173,1894
"Arizona",1772482,15138
"Arkansas",1923295,19008
"California",19953134,145729
"Colorado",2207259,19512
"Connecticut",3032217,18476
"Delaware",548104,3824
"Florida",6789443,66259
"Georgia",4589575,37731
"Hawaii",769913,14988
"Idaho",713008,6913
"Illinois",11113976,70344
"Indiana",5193669,34487
"Iowa",2825041,21879
"Kansas",2249071,16775
"Kentucky",3219311,27170
"Louisiana",3643180,28828
"Maine",993663,12657
"Maryland",3922399,31299
"Massachusetts",5689170,37506
"Michigan",8875083,62113
"Minnesota",3805069,28104
"Mississippi",2216912,16936
"Missouri",4677399,40635
"Montana",694409,7164
"Nebraska",1483791,13029
"Nevada",488738,3658
"New Hampshire",737681,8603
"New Jersey",7168164,39871
"New Mexico",1016000,10664
"New York",18241266,96789
"North Carolina",5082059,43171
"North Dakota",617761,6420
"Ohio",10652017,78183
"Oklahoma",2559253,26233
"Oregon",2091385,19425
"Pennsylvania",11793909,90405
"Rhode Island",949723,8075
"South Carolina",2590516,26804
"South Dakota",666257,6990
"Tennessee",3924164,36896
"Texas",11196730,102057
"Utah",1059273,8537
"Vermont",444732,3595
"Virginia",4648494,42248
"Washington",3409169,34318
"West Virginia",1744237,19094
"Wisconsin",4417933,29080
"Wyoming",332416,3303
"District of Columbia",756510,6461
"Puerto Rico",2712033,0
