"AREA","RESIDENT_POPULATION"
"Alabama",3890061
"Alaska",400481
"Arizona",2717866
"Arkansas",2285513
"California",23668562
"Colorado",2888834
"Connecticut",3107576
"Delaware",595225
"Florida",9739992
"Georgia",5464265
"Hawaii",965000
"Idaho",943935
"Illinois",11418461
"Indiana",5490179
"Iowa",2913387
"Kansas",2363208
"Kentucky",3661433
"Louisiana",4203972
"Maine",1124660
"Maryland",4216446
"Massachusetts",5737037
"Michigan",9258344
"Minnesota",4077148
"Mississippi",2520638
"Missouri",4917444
"Montana",786690
"Nebraska",1570006
"Nevada",799184
"New Hampshire",920610
"New Jersey",7364158
"New Mexico",1299968
"New York",17557288
"North Carolina",5874429
"North Dakota",652695
"Ohio",10797419
"Oklahoma",3025266
"Oregon",2632663
"Pennsylvania",11866728
"Rhode Island",947154
"South Carolina",3119208
"South Dakota",690178
"Tennessee",4590750
"Texas",14228383
"Utah",1461037
"Vermont",511456
"Virginia",5346279
"Washington",4130163
"West Virginia",1949644
"Wisconsin",4705335
"Wyoming",470816
"District of Columbia",637651
"Puerto Rico",3196520
