"AREA","RESIDENT_POPULATION"
"Alabama",4921532
"Alaska",731158
"Arizona",7421401
"Arkansas",3030522
"California",39368078
"Colorado",5807719
"Connecticut",3557006
"Delaware",986809
"Florida",21733312
"Georgia",10710017
"Hawaii",1407006
"Idaho",1826913
"Illinois",12587530
"Indiana",6754953
"Iowa",3163561
"Kansas",2913805
"Kentucky",4477251
"Louisiana",4645318
"Maine",1350141
"Maryland",6055802
"Massachusetts",6893574
"Michigan",9966555
"Minnesota",5657342
"Mississippi",2966786
"Missouri",6151548
"Montana",1080577
"Nebraska",1937552
"Nevada",3138259
"New Hampshire",1366275
"New Jersey",8882371
"New Mexico",2106319
"New York",19336776
"North Carolina",10600823
"North Dakota",765309
"Ohio",11693217
"Oklahoma",3980783
"Oregon",4241507
"Pennsylvania",12783254
"Rhode Island",1057125
"South Carolina",5218040
"South Dakota",892717
"Tennessee",6886834
"Texas",29360759
"Utah",3249879
"Vermont",623347
"Virginia",8590563
"Washington",7693612
"West Virginia",1784787
"Wisconsin",5832655
"Wyoming",582328
"District of Columbia",712816
"Puerto Rico",3193354
