"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2138093,10,213809,10655,5.244789666952164
"Arkansas",1574449,8,196806,-6348,-3.1247231164535276
"California",2376561,12,198047,-5107,-2.5138564832590053
"Colorado",798572,4,199643,-3511,-1.7282455674020691
"Connecticut",1114756,5,222951,19797,9.74482412357128
"Delaware",202322,1,202322,-832,-0.40954153007078375
"Florida",752619,4,188155,-14999,-7.383069001840968
"Georgia",2609121,13,200702,-2452,-1.206966143910531
"Idaho",323440,2,161720,-41434,-20.39536509249141
"Illinois",5638591,28,201378,-1776,-0.8742136507280192
"Indiana",2700876,13,207760,4606,2.2672455378678245
"Iowa",2224771,11,202252,-902,-0.443998149187316
"Kansas",1690949,8,211369,8215,4.043730372033039
"Kentucky",2289905,11,208173,5019,2.470539590655365
"Louisiana",1656388,8,207048,3894,1.9167724977110958
"Maine",742371,4,185593,-17561,-8.64418126150605
"Maryland",1295346,6,215891,12737,6.269627966961025
"Massachusetts",3366416,16,210401,7247,3.5672445533929924
"Michigan",2810173,14,200727,-2427,-1.1946602085117695
"Minnesota",2074376,10,207438,4284,2.108745089931776
"Mississippi",1797114,9,199679,-3475,-1.7105250204278528
"Missouri",3293335,16,205833,2679,1.3187040373312857
"Montana",366338,2,183169,-19985,-9.837364757769967
"Nebraska",1192214,6,198702,-4452,-2.191440975811453
"Nevada",80293,1,80293,-122861,-60.47678116108962
"New Hampshire",430572,2,215286,12132,5.971824330310996
"New Jersey",2537167,12,211431,8277,4.074249091821967
"New York",9108934,45,202421,-733,-0.3608100258916881
"North Carolina",2206287,11,200572,-2582,-1.2709570079840908
"North Dakota",574403,3,191468,-11686,-5.75228644279709
"Ohio",4767121,23,207266,4112,2.0240802543882963
"Oklahoma",1657155,8,207144,3990,1.9640272896423405
"Oregon",672765,3,224255,21101,10.386701713970682
"Pennsylvania",7665111,37,207165,4011,1.9743642753773
"Rhode Island",542610,3,180870,-22284,-10.969018577040078
"South Carolina",1515400,7,216486,13332,6.562509229451549
"South Dakota",575676,3,191892,-11262,-5.543577778434095
"Tennessee",2184789,11,198617,-4537,-2.2332811561672425
"Texas",3896542,19,205081,1927,0.9485415005365387
"Utah",371864,2,185932,-17222,-8.477312777498843
"Vermont",355956,2,177978,-25176,-12.392569183968812
"Virginia",2061612,10,206161,3007,1.4801579097630368
"Washington",1140134,6,190022,-13132,-6.464061746261457
"West Virginia",1221119,6,203520,366,0.18015889423786882
"Wisconsin",2332853,11,212078,8924,4.392726699941916
"Wyoming",144658,1,144658,-58496,-28.79391988343818
"Arizona",180225,1,180225,-22929,-11.286511710328126
"New Mexico",316983,2,158492,-44662,-21.9843074711795
"Alaska",64356,1,64356,-138798,-68.32156885909212
"Hawaii",191909,1,191909,-11245,-5.5352097423629365
"TOTAL",91825590,452,203154,0,0.0
