"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2348174,9,260908,15198,6.1853404419844535
"Arizona",334162,1,334162,88452,35.99853485816613
"Arkansas",1752204,7,250315,4605,1.874160595824346
"California",3426861,14,244776,-934,-0.38012290912050795
"Colorado",939629,4,234907,-10803,-4.39664645313581
"Connecticut",1380631,6,230105,-15605,-6.35098286598022
"Delaware",223003,1,223003,-22707,-9.24138211712995
"Florida",968470,4,242118,-3592,-1.4618859631272638
"Georgia",2895832,12,241319,-4391,-1.7870660534776768
"Idaho",431866,2,215933,-29777,-12.118757885311954
"Illinois",6485280,26,249434,3724,1.5156078303691343
"Indiana",2930390,12,244199,-1511,-0.6149525863823206
"Iowa",2404021,10,240402,-5308,-2.1602702372715803
"Kansas",1769257,7,252751,7041,2.8655732367425015
"Kentucky",2416630,10,241663,-4047,-1.6470636115746204
"Louisiana",1798509,7,256930,11220,4.566358715558992
"Maine",768014,3,256005,10295,4.1898986610231574
"Maryland",1449661,6,241610,-4100,-1.668633755239917
"Massachusetts",3852356,16,240772,-4938,-2.009686215457246
"Michigan",3668412,15,244561,-1149,-0.4676244353099182
"Minnesota",2387125,10,238712,-6998,-2.8480729315046194
"Mississippi",1790618,7,255803,10093,4.107687924789386
"Missouri",3404055,14,243147,-2563,-1.0430995889463188
"Montana",548889,2,274444,28734,11.694273737332628
"Nebraska",1296372,5,259274,13564,5.520328842944935
"Nevada",77407,1,77407,-168303,-68.4966016849131
"New Hampshire",443083,2,221542,-24168,-9.835985511375199
"New Jersey",3155900,13,242762,-2948,-1.1997883684017745
"New Mexico",360350,2,180175,-65535,-26.67168613406048
"New York",10385227,42,247267,1557,0.633673843148427
"North Carolina",2559123,10,255912,10202,4.152049163648203
"North Dakota",646872,3,215624,-30086,-12.24451589271906
"Ohio",5759394,23,250408,4698,1.9120100931993
"Oklahoma",2028283,8,253535,7825,3.184648569451793
"Oregon",783389,3,261130,15420,6.275690855073053
"Pennsylvania",8720017,35,249143,3433,1.3971755321313744
"Rhode Island",604397,2,302198,56488,22.98970330877864
"South Carolina",1683724,7,240532,-5178,-2.107362337715193
"South Dakota",636547,3,212182,-33528,-13.645354279435107
"Tennessee",2337885,9,259765,14055,5.720157909730983
"Texas",4663228,19,245433,-277,-0.11273452443937976
"Utah",449396,2,224698,-21012,-8.551544503683203
"Vermont",352428,2,176214,-69496,-28.283749135159336
"Virginia",2309187,9,256576,10866,4.422286435228521
"Washington",1356621,5,271324,25614,10.424484147979324
"West Virginia",1463701,6,243950,-1760,-0.7162915632249399
"Wisconsin",2632067,11,239279,-6431,-2.617313092670221
"Wyoming",194402,1,194402,-51308,-20.88152700337797
"Alaska",55036,1,55036,-190674,-77.60123723088194
"Hawaii",255912,1,255912,10202,4.152049163648203
"Puerto Rico",1299809,5,259962,14252,5.800333726751048
"TOTAL",106883806,435,245710,0,0.0
