"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2348174,10,234817,-7190,-2.9709884424830686
"Arizona",334162,1,334162,92155,38.079477039920334
"Arkansas",1752204,7,250315,8308,3.432958550785721
"California",3426861,14,244776,2769,1.1441817798658718
"Colorado",939629,4,234907,-7100,-2.933799435553517
"Connecticut",1380631,6,230105,-11902,-4.91803956083915
"Delaware",223003,1,223003,-19004,-7.852665418768878
"Florida",968470,4,242118,111,0.04586644187978033
"Georgia",2895832,12,241319,-688,-0.28428929741701686
"Idaho",431866,2,215933,-26074,-10.774068518679211
"Illinois",6485280,27,240196,-1811,-0.7483254616602
"Indiana",2930390,12,244199,2192,0.905758924328635
"Iowa",2404021,10,240402,-1605,-0.6632039569103373
"Kansas",1769257,7,252751,10744,4.439541005012252
"Kentucky",2416630,10,241663,-344,-0.14214464870850843
"Louisiana",1798509,7,256930,14923,6.166350560107765
"Maine",768014,3,256005,13998,5.784130211109597
"Maryland",1449661,6,241610,-397,-0.1640448416781333
"Massachusetts",3852356,16,240772,-1235,-0.5103158173110695
"Michigan",3668412,15,244561,2554,1.055341374423054
"Minnesota",2387125,10,238712,-3295,-1.3615308648096955
"Mississippi",1790618,7,255803,13796,5.700661551112158
"Missouri",3404055,14,243147,1140,0.4710607544409873
"Montana",548889,2,274444,32437,13.403331308598512
"Nebraska",1296372,5,259274,17267,7.134917585028533
"Nevada",77407,1,77407,-164600,-68.01456156226887
"New Hampshire",443083,2,221542,-20465,-8.456366964591933
"New Jersey",3155900,13,242762,755,0.31197444702012755
"New Mexico",360350,2,180175,-61832,-25.549674182978176
"New York",10385227,42,247267,5260,2.1734908494382394
"North Carolina",2559123,10,255912,13905,5.745701570615726
"North Dakota",646872,3,215624,-26383,-10.901750775804006
"Ohio",5759394,24,239975,-2032,-0.8396451342316544
"Oklahoma",2028283,8,253535,11528,4.763498576487457
"Oregon",783389,3,261130,19123,7.901837550153508
"Pennsylvania",8720017,36,242223,216,0.0892536166309239
"Rhode Island",604397,3,201466,-40541,-16.75199477701058
"South Carolina",1683724,7,240532,-1475,-0.6094865024565405
"South Dakota",636547,3,212182,-29825,-12.324023685265303
"Tennessee",2337885,10,233788,-8219,-3.3961827550442756
"Texas",4663228,19,245433,3426,1.4156615304515985
"Utah",449396,2,224698,-17309,-7.15227245492899
"Vermont",352428,2,176214,-65793,-27.18640369906656
"Virginia",2309187,9,256576,14569,6.020073799518196
"Washington",1356621,6,226104,-15903,-6.571297524451772
"West Virginia",1463701,6,243950,1943,0.8028693384902089
"Wisconsin",2632067,11,239279,-2728,-1.1272401211535203
"Wyoming",194402,1,194402,-47605,-19.670918609792277
"TOTAL",105273049,435,242007,0,0.0
