"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2348174,10,234817,9352,4.1478721752821945
"Arizona",334162,2,167081,-58384,-25.89492825937507
"Arkansas",1752204,8,219026,-6439,-2.855875634799193
"California",3426861,15,228457,2992,1.3270352382853214
"Colorado",939629,4,234907,9442,4.187789679107622
"Connecticut",1380631,6,230105,4640,2.0579690861109263
"Delaware",223003,1,223003,-2462,-1.091965493535582
"Florida",968470,4,242118,16653,7.386068791164926
"Georgia",2895832,13,222756,-2709,-1.2015168651453663
"Idaho",431866,2,215933,-9532,-4.227707182933049
"Illinois",6485280,29,223630,-1835,-0.8138735502184375
"Indiana",2930390,13,225415,-50,-0.02217639101412636
"Iowa",2404021,11,218547,-6918,-3.068325460714523
"Kansas",1769257,8,221157,-4308,-1.910717849777127
"Kentucky",2416630,11,219694,-5771,-2.5595990508504647
"Louisiana",1798509,8,224814,-651,-0.2887366110039252
"Maine",768014,3,256005,30540,13.545339631428382
"Maryland",1449661,6,241610,16145,7.160756658461402
"Massachusetts",3852356,17,226609,1144,0.5073958264032111
"Michigan",3668412,16,229276,3811,1.6902845230967114
"Minnesota",2387125,11,217011,-8454,-3.7495841926684848
"Mississippi",1790618,8,223827,-1638,-0.7264985696227796
"Missouri",3404055,15,226937,1472,0.6528729514558801
"Montana",548889,2,274444,48979,21.723549109617903
"Nebraska",1296372,6,216062,-9403,-4.170492094116604
"Nevada",77407,1,77407,-148058,-65.66784201539042
"New Hampshire",443083,2,221542,-3923,-1.7399596389683543
"New Jersey",3155900,14,225421,-44,-0.019515224092431196
"New Mexico",360350,2,180175,-45290,-20.08737498059566
"New York",10385227,46,225766,301,0.1335018739050407
"North Carolina",2559123,11,232648,7183,3.185860333089393
"North Dakota",646872,3,215624,-9841,-4.364757279400351
"Ohio",5759394,25,230376,4911,2.1781651254074914
"Oklahoma",2028283,9,225365,-100,-0.04435278202825272
"Oregon",783389,3,261130,35665,15.818419710376332
"Pennsylvania",8720017,38,229474,4009,1.7781030315126516
"Rhode Island",604397,3,201466,-23999,-10.644224158960371
"South Carolina",1683724,7,240532,15067,6.6826336681968375
"South Dakota",636547,3,212182,-13283,-5.8913800368128095
"Tennessee",2337885,10,233788,8323,3.6914820482114736
"Texas",4663228,21,222058,-3407,-1.5110992837025703
"Utah",449396,2,224698,-767,-0.3401858381566984
"Vermont",352428,2,176214,-49251,-21.84418867673475
"Virginia",2309187,10,230919,5454,2.4190007318209035
"Washington",1356621,6,226104,639,0.2834142771605349
"West Virginia",1463701,6,243950,18485,8.198611757922516
"Wisconsin",2632067,12,219339,-6126,-2.7170514270507615
"Wyoming",194402,1,194402,-31063,-13.777304681436142
"Alaska",55036,1,55036,-170429,-75.59000288293083
"Hawaii",255912,1,255912,30447,13.504091544142105
"District of Columbia",437571,2,218786,-6679,-2.962322311666999
"Puerto Rico",1299809,6,216635,-8830,-3.9163506530947156
"TOTAL",107321377,476,225465,0,0.0
