"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2646248,45,58806,-472,-0.7962481865110159
"Arizona",435573,7,62225,2947,4.971490266203314
"Arkansas",1854482,31,59822,544,0.9177097742838827
"California",5677251,96,59138,-140,-0.2361753095583522
"Colorado",1035791,17,60929,1651,2.7851816862917103
"Connecticut",1606903,27,59515,237,0.3998110597523533
"Delaware",238380,4,59595,317,0.5347683794999831
"Florida",1468211,25,58728,-550,-0.9278315732649549
"Georgia",2908506,49,59357,79,0.13327035325078446
"Idaho",445032,8,55629,-3649,-6.155740746988765
"Illinois",7630654,129,59152,-126,-0.21255777860251696
"Indiana",3238503,55,58882,-396,-0.6680387327507675
"Iowa",2470939,42,58832,-446,-0.7523870575930361
"Kansas",1880999,32,58781,-497,-0.8384223489321502
"Kentucky",2614589,44,59422,144,0.24292317554573364
"Louisiana",2101593,35,60046,768,1.2955902695772463
"Maine",797423,13,61340,2062,3.4785249164951586
"Maryland",1631526,28,58269,-1009,-1.702149195316981
"Massachusetts",4249614,72,59022,-256,-0.43186342319241544
"Michigan",4842325,82,59053,-225,-0.37956746179020884
"Minnesota",2563953,43,59627,349,0.588751307399035
"Mississippi",2009821,34,59112,-166,-0.28003643847633186
"Missouri",3629367,61,59498,220,0.371132629305982
"Montana",537606,9,59734,456,0.7692567225614899
"Nebraska",1377963,23,59911,633,1.0678497925031207
"Nevada",91058,2,45529,-13749,-23.19410236512703
"New Hampshire",465293,8,58162,-1116,-1.882654610479436
"New Jersey",4041334,68,59431,153,0.25810587401734203
"New Mexico",423317,7,60474,1196,2.0176119302270656
"New York",12588066,212,59378,100,0.16869664968453726
"North Carolina",3170276,54,58709,-569,-0.9598839367050171
"North Dakota",680845,11,61895,2617,4.41479132224434
"Ohio",6646697,112,59346,68,0.11471372178548533
"Oklahoma",2396040,40,59901,623,1.050980127534667
"Oregon",953786,16,59612,334,0.5634468099463544
"Pennsylvania",9631350,163,59088,-190,-0.32052363440062076
"Rhode Island",687497,12,57291,-1987,-3.3520024292317556
"South Carolina",1738765,29,59957,679,1.145450251358008
"South Dakota",692849,12,57737,-1541,-2.5996153716387194
"Tennessee",2616556,44,59467,189,0.3188366679037754
"Texas",5824715,98,59436,158,0.2665407065015689
"Utah",507847,9,56427,-2851,-4.809541482506158
"Vermont",359611,6,59935,657,1.1083369884274097
"Virginia",2421851,41,59070,-208,-0.35088903134383753
"Washington",1563396,26,60131,853,1.438982421809103
"West Virginia",1729205,29,59628,350,0.5904382738958804
"Wisconsin",2939006,50,58780,-498,-0.8401093154289956
"Wyoming",225565,4,56391,-2887,-4.8702722763925905
"Alaska",59278,1,59278,0,0.0
"Hawaii",368336,6,61389,2111,3.5611862748405816
"TOTAL",122715791,2071,59254,-24,-0.04048719592428895
