"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3890061,7,555723,27674,5.240801516525929
"Alaska",400481,1,400481,-127568,-24.158364091211233
"Arizona",2717866,5,543573,15524,2.9398786855007772
"Arkansas",2285513,4,571378,43329,8.205488505801545
"California",23668562,45,525968,-2081,-0.3940922149270238
"Colorado",2888834,5,577767,49718,9.415414099827856
"Connecticut",3107576,6,517929,-10120,-1.916488810697492
"Delaware",595225,1,595225,67176,12.721546674645722
"Florida",9739992,18,541111,13062,2.4736340756255575
"Georgia",5464265,10,546426,18377,3.480169453971128
"Hawaii",965000,2,482500,-45549,-8.625904035420955
"Idaho",943935,2,471968,-56081,-10.62041590837214
"Illinois",11418461,22,519021,-9028,-1.7096898204522686
"Indiana",5490179,10,549018,20969,3.9710329912564934
"Iowa",2913387,6,485564,-42485,-8.045654854000292
"Kansas",2363208,4,590802,62753,11.883935013606692
"Kentucky",3661433,7,523062,-4987,-0.9444199307261258
"Louisiana",4203972,8,525496,-2553,-0.4834778590623218
"Maine",1124660,2,562330,34281,6.492011158055408
"Maryland",4216446,8,527056,-993,-0.18805073014057405
"Massachusetts",5737037,11,521549,-6500,-1.2309463705072825
"Michigan",9258344,17,544608,16559,3.135883222958476
"Minnesota",4077148,8,509644,-18405,-3.4854719921825437
"Mississippi",2520638,5,504128,-23921,-4.5300720198314925
"Missouri",4917444,9,546383,18334,3.47202627028931
"Montana",786690,2,393345,-134704,-25.509753829663534
"Nebraska",1570006,3,523335,-4714,-0.8927201831648199
"Nevada",799184,2,399592,-128457,-24.32671967942369
"New Hampshire",920610,2,460305,-67744,-12.829112449791591
"New Jersey",7364158,14,526011,-2038,-0.3859490312452064
"New Mexico",1299968,3,433323,-94726,-17.93886552194967
"New York",17557288,33,532039,3990,0.755611695126778
"North Carolina",5874429,11,534039,5990,1.1343644245136342
"North Dakota",652695,1,652695,124646,23.605006353577036
"Ohio",10797419,20,539871,11822,2.2388073834057067
"Oklahoma",3025266,6,504211,-23838,-4.514353781561939
"Oregon",2632663,5,526533,-1516,-0.28709456887523693
"Pennsylvania",11866728,22,539397,11348,2.149042986541022
"Rhode Island",947154,2,473577,-54472,-10.315709337580415
"South Carolina",3119208,6,519868,-8181,-1.549288039556935
"South Dakota",690178,1,690178,162129,30.703400631380802
"Tennessee",4590750,9,510083,-17966,-3.4023357680821285
"Texas",14228383,27,526977,-1072,-0.2030114629513549
"Utah",1461037,3,487012,-41037,-7.771437877924208
"Vermont",511456,1,511456,-16593,-3.142322019358052
"Virginia",5346279,10,534628,6579,1.2459071033180633
"Washington",4130163,8,516270,-11779,-2.2306641997238894
"West Virginia",1949644,4,487411,-40638,-7.69587670841153
"Wisconsin",4705335,9,522815,-5234,-0.9911958928054024
"Wyoming",470816,1,470816,-57233,-10.83857748049897
"District of Columbia",637651,1,637651,109602,20.7560283231291
"Puerto Rico",3196520,6,532753,4704,0.8908264195178857
"TOTAL",229701345,435,528049,0,0.0
