"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4062608,9,451401,-4574,-1.003125171336148
"Arizona",3677985,8,459748,3773,0.8274576457042601
"Arkansas",2362239,5,472448,16473,3.6126980645868745
"California",29839250,65,459065,3090,0.6776687318383683
"Colorado",3307912,7,472559,16584,3.6370415044684465
"Connecticut",3295669,7,470810,14835,3.253467843631778
"Delaware",668696,2,334348,-121627,-26.674050112396515
"Florida",13003362,29,448392,-7583,-1.6630297713690443
"Georgia",6508419,14,464887,8912,1.9544931191403037
"Idaho",1011986,2,505993,50018,10.969461045013434
"Illinois",11466682,25,458667,2692,0.5903832446954329
"Indiana",5564228,12,463686,7711,1.6911014858270739
"Iowa",2787424,6,464571,8596,1.8851910740720437
"Kansas",2485600,5,497120,41145,9.023521026372059
"Kentucky",3698969,8,462371,6396,1.4027084818246616
"Louisiana",4238216,9,470913,14938,3.276056801359724
"Maine",1233223,3,411074,-44901,-9.847250397499863
"Maryland",4798622,11,436238,-19737,-4.328526783266627
"Massachusetts",6029051,13,463773,7798,1.7101814792477656
"Michigan",9328784,20,466439,10464,2.2948626569439114
"Minnesota",4387029,10,438703,-17272,-3.7879269696803552
"Mississippi",2586443,6,431074,-24901,-5.461045013432754
"Missouri",5137804,11,467073,11098,2.4339053676188387
"Montana",803655,2,401828,-54147,-11.874993146554088
"Nebraska",1584617,4,396154,-59821,-13.119359614013925
"Nevada",1206152,3,402051,-53924,-11.826086956521738
"New Hampshire",1113915,2,556958,100983,22.146608914962442
"New Jersey",7748634,17,455802,-173,-0.03794067657218049
"New Mexico",1521779,3,507260,51285,11.247327156094084
"New York",18044505,40,451113,-4862,-1.066286528866714
"North Carolina",6657630,15,443842,-12133,-2.6608914962443118
"North Dakota",641364,1,641364,185389,40.65771149734086
"Ohio",10887325,24,453639,-2336,-0.5123087888590383
"Oklahoma",3157604,7,451086,-4889,-1.0722079061352048
"Oregon",2853733,6,475622,19647,4.308788859038325
"Pennsylvania",11924710,26,458643,2668,0.5851197982345523
"Rhode Island",1005984,2,502992,47017,10.311310927134162
"South Carolina",3505707,8,438213,-17762,-3.8953890015899995
"South Dakota",699999,2,350000,-105975,-23.241405778825595
"Tennessee",4896641,11,445149,-10826,-2.374252974395526
"Texas",17059805,37,461076,5101,1.1187016832063161
"Utah",1727784,4,431946,-24029,-5.2698064586874285
"Vermont",564964,1,564964,108989,23.902406930204506
"Virginia",6216568,14,444041,-11934,-2.617248752672844
"Washington",4887941,11,444358,-11617,-2.5477273973353802
"West Virginia",1801625,4,450406,-5569,-1.2213388891934864
"Wisconsin",4906745,11,446068,-9907,-2.172706836997642
"Wyoming",455975,1,455975,0,0.0
"TOTAL",247355562,543,455535,-440,-0.0964965184494764
