"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4461130,10,446113,16892,3.935501757835707
"Alaska",628933,2,314466,-114755,-26.735644341726054
"Arizona",5140683,12,428390,-831,-0.1936065569951144
"Arkansas",2679733,6,446622,17401,4.054088686247876
"California",33930798,79,429504,283,0.06593340027631453
"Colorado",4311882,10,431188,1967,0.4582720789523346
"Connecticut",3409535,8,426192,-3029,-0.7056970651482569
"Delaware",785068,2,392534,-36687,-8.547345073982866
"Florida",16028890,37,433213,3992,0.9300570102581187
"Georgia",8206975,19,431946,2725,0.6348710803991418
"Hawaii",1216642,3,405547,-23674,-5.515573562337351
"Idaho",1297274,3,432425,3204,0.7464686024215963
"Illinois",12439042,29,428932,-289,-0.0673312815542576
"Indiana",6090782,14,435056,5835,1.35943954279963
"Iowa",2931923,7,418846,-10375,-2.4171697097765485
"Kansas",2693824,6,448971,19750,4.601359206562586
"Kentucky",4049431,9,449937,20716,4.82641809231142
"Louisiana",4480271,10,448027,18806,4.381425885499544
"Maine",1277731,3,425910,-3311,-0.7713974852115809
"Maryland",5307886,12,442324,13103,3.052739730814662
"Massachusetts",6355568,15,423705,-5516,-1.2851188548556571
"Michigan",9955829,23,432862,3641,0.8482809554984495
"Minnesota",4925670,11,447788,18567,4.3257436145948125
"Mississippi",2852927,7,407561,-21660,-5.046351413374462
"Missouri",5606260,13,431251,2030,0.4729498323707368
"Montana",905316,2,452658,23437,5.4603572518586
"Nebraska",1715369,4,428842,-379,-0.08829950072340356
"Nevada",2002032,5,400406,-28815,-6.713324837321566
"New Hampshire",1238415,3,412805,-16416,-3.8246031764522237
"New Jersey",8424354,20,421218,-8003,-1.8645406445630575
"New Mexico",1823821,4,455955,26734,6.228493014088313
"New York",19004973,44,431931,2710,0.6313763772042841
"North Carolina",8067673,19,424614,-4607,-1.0733398412472828
"North Dakota",643756,2,321878,-107343,-25.00879500304039
"Ohio",11374540,27,421279,-7942,-1.8503288515706362
"Oklahoma",3458819,8,432352,3131,0.729461046873289
"Oregon",3428543,8,428568,-653,-0.1521360790828035
"Pennsylvania",12300670,29,424161,-5060,-1.1788798777319842
"Rhode Island",1049662,2,524831,95610,22.275238164022728
"South Carolina",4025061,9,447229,18008,4.195507675533117
"South Dakota",756874,2,378437,-50784,-11.831667136510097
"Tennessee",5700037,13,438464,9243,2.1534361086712908
"Texas",20903994,49,426612,-2609,-0.6078453756922424
"Utah",2236714,5,447343,18122,4.222067419814035
"Vermont",609890,2,304945,-124276,-28.953848949608705
"Virginia",7100702,17,417688,-11533,-2.68696079641956
"Washington",5908684,14,422049,-7172,-1.6709340875679428
"West Virginia",1813077,4,453269,24048,5.6027081619958015
"Wisconsin",5371210,13,413170,-16051,-3.739565398710688
"Wyoming",495304,1,495304,66083,15.396031415051919
"District of Columbia",574096,1,574096,144875,33.75300835700024
"TOTAL",281998273,657,429221,0,0.0
