"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",5030053,7,718579,-42590,-5.595340850717777
"Alaska",736081,1,736081,-25088,-3.2959828894765812
"Arizona",7158923,9,795436,34267,4.501891170029258
"Arkansas",3013756,4,753439,-7730,-1.0155431973714115
"California",39576757,52,761091,-78,-0.010247395782014243
"Colorado",5782171,8,722771,-38398,-5.044609015869012
"Connecticut",3608298,5,721660,-39509,-5.190568717328215
"Delaware",990837,1,990837,229668,30.17306274953394
"Florida",21570527,28,770376,9207,1.2095868328846813
"Georgia",10725274,14,766091,4922,0.6466369492188988
"Hawaii",1460137,2,730068,-31101,-4.08595200277468
"Idaho",1841377,2,920688,159519,20.95710676604013
"Illinois",12822739,17,754279,-6890,-0.9051866274112582
"Indiana",6790280,9,754476,-6693,-0.8793053842182221
"Iowa",3192406,4,798102,36933,4.852141902783744
"Kansas",2940865,4,735216,-25953,-3.4096238811617394
"Kentucky",4509342,6,751557,-9612,-1.2627944648297553
"Louisiana",4661468,6,776911,15742,2.0681346718008746
"Maine",1363582,2,681791,-79378,-10.428433107496495
"Maryland",6185278,8,773160,11991,1.5753400361811898
"Massachusetts",7033469,9,781497,20328,2.670628993035712
"Michigan",10084442,13,775726,14557,1.9124530820356582
"Minnesota",5709752,8,713719,-47450,-6.233832434058665
"Mississippi",2963914,4,740978,-20191,-2.652630361982687
"Missouri",6160281,8,770035,8866,1.164787320555619
"Montana",1085407,2,542704,-218465,-28.70124768612489
"Nebraska",1963333,3,654444,-106725,-14.02119634404449
"Nevada",3108462,4,777116,15947,2.0950669299459124
"New Hampshire",1379089,2,689544,-71625,-9.40986824213808
"New Jersey",9294493,12,774541,13372,1.7567714922704418
"New Mexico",2120220,3,706740,-54429,-7.15071160281094
"New York",20215751,26,777529,16360,2.1493255768429873
"North Carolina",10453948,14,746711,-14458,-1.8994467720046402
"North Dakota",779702,1,779702,18533,2.434807513180384
"Ohio",11808848,15,787257,26088,3.427359758476764
"Oklahoma",3963516,5,792703,31534,4.142838187051759
"Oregon",4241500,6,706917,-54252,-7.127457896997908
"Pennsylvania",13011844,17,765403,4234,0.5562496633467732
"Rhode Island",1098163,2,549082,-212087,-27.863326015641732
"South Carolina",5124712,7,732102,-29067,-3.8187314512283077
"South Dakota",887770,1,887770,126601,16.63244299229212
"Tennessee",6916897,9,768544,7375,0.9689044088763468
"Texas",29183290,38,767981,6812,0.8949392316292439
"Utah",3275252,4,818813,57644,7.573088236646526
"Vermont",643503,1,643503,-117666,-15.458590667775487
"Virginia",8654542,11,786777,25608,3.3642988613566764
"Washington",7715946,10,771595,10426,1.3697352361959039
"West Virginia",1795045,2,897522,136353,17.9136302187819
"Wisconsin",5897473,8,737184,-23985,-3.15107420296938
"Wyoming",577719,1,577719,-183450,-24.1010866180835
"TOTAL",331108434,435,761169,0,0.0
