"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4921532,7,703076,120748,20.735393111785797
"Alaska",731158,1,731158,148830,25.557761261694438
"Arizona",7421401,10,742140,159812,27.443640010440852
"Arkansas",3030522,4,757630,175302,30.103652924125235
"California",39368078,52,757078,174750,30.0088609855614
"Colorado",5807719,8,725965,143637,24.665995796183594
"Connecticut",3557006,5,711401,129073,22.16499979393057
"Delaware",986809,1,986809,404481,69.4593081562281
"Florida",21733312,29,749425,167097,28.694653185146517
"Georgia",10710017,14,765001,182673,31.3694344080999
"Hawaii",1407006,2,703503,121175,20.80871948455166
"Idaho",1826913,2,913456,331128,56.86279897240043
"Illinois",12587530,17,740443,158115,27.152223489167614
"Indiana",6754953,9,750550,168222,28.88784327732824
"Iowa",3163561,4,790890,208562,35.81521067164897
"Kansas",2913805,4,728451,146123,25.09290296877361
"Kentucky",4477251,6,746208,163880,28.14221538376997
"Louisiana",4645318,6,774220,191892,32.95256281683175
"Maine",1350141,2,675070,92742,15.926076025882322
"Maryland",6055802,8,756975,174647,29.991173359343875
"Massachusetts",6893574,9,765953,183625,31.53291615721724
"Michigan",9966555,13,766658,184330,31.65398194831779
"Minnesota",5657342,7,808192,225864,38.786388427140714
"Mississippi",2966786,4,741696,159368,27.36739432072646
"Missouri",6151548,8,768944,186616,32.04654421563105
"Montana",1080577,2,540288,-42040,-7.219299089173112
"Nebraska",1937552,3,645851,63523,10.908457089475347
"Nevada",3138259,4,784565,202237,34.72905304227171
"New Hampshire",1366275,2,683138,100810,17.311549504746466
"New Jersey",8882371,12,740198,157870,27.110150980203596
"New Mexico",2106319,3,702106,119778,20.568820321193552
"New York",19336776,25,773471,191143,32.82394114657032
"North Carolina",10600823,14,757202,174874,30.030154826832987
"North Dakota",765309,1,765309,182981,31.4223255622261
"Ohio",11693217,15,779548,197220,33.86751109340441
"Oklahoma",3980783,5,796157,213829,36.71968375211222
"Oregon",4241507,6,706918,124590,21.39515874215219
"Pennsylvania",12783254,17,751956,169628,29.1292879614238
"Rhode Island",1057125,1,1057125,474797,81.53428995342831
"South Carolina",5218040,7,745434,163106,28.009300600348947
"South Dakota",892717,1,892717,310389,53.30140401972771
"Tennessee",6886834,9,765204,182876,31.404294486955802
"Texas",29360759,39,752840,170512,29.281092442747042
"Utah",3249879,4,812470,230142,39.52102595101042
"Vermont",623347,1,623347,41019,7.043968347735296
"Virginia",8590563,11,780960,198632,34.10998612465827
"Washington",7693612,10,769361,187033,32.11815334313308
"West Virginia",1784787,2,892394,310066,53.245936997705755
"Wisconsin",5832655,8,729082,146754,25.20126114492176
"Wyoming",582328,1,582328,0,0.0
"TOTAL",328771307,435,755796,173468,29.78871014273743
