"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4921532,6,820255,62820,8.29378098450692
"Alaska",731158,1,731158,-26277,-3.4692085789539693
"Arizona",7421401,10,742140,-15295,-2.019315188762072
"Arkansas",3030522,4,757630,195,0.025744783380752145
"California",39368078,52,757078,-357,-0.04713275726630008
"Colorado",5807719,8,725965,-31470,-4.154811964062923
"Connecticut",3557006,5,711401,-46034,-6.077617221279714
"Delaware",986809,1,986809,229374,30.282994580393037
"Florida",21733312,29,749425,-8010,-1.0575164865632034
"Georgia",10710017,14,765001,7566,0.9988975951731831
"Hawaii",1407006,2,703503,-53932,-7.1203469604652545
"Idaho",1826913,2,913456,156021,20.598599219735025
"Illinois",12587530,17,740443,-16992,-2.2433608164396945
"Indiana",6754953,9,750550,-6885,-0.9089888901357873
"Iowa",3163561,4,790890,33455,4.416880656425963
"Kansas",2913805,4,728451,-28984,-3.8265989820908723
"Kentucky",4477251,6,746208,-11227,-1.482239400080535
"Louisiana",4645318,6,774220,16785,2.21603173869705
"Maine",1350141,2,675070,-82365,-10.874200426439232
"Maryland",6055802,8,756975,-460,-0.06073128387254352
"Massachusetts",6893574,9,765953,8518,1.1245849478833168
"Michigan",9966555,13,766658,9223,1.2176622416444975
"Minnesota",5657342,7,808192,50757,6.701169077214547
"Mississippi",2966786,4,741696,-15739,-2.0779340801520925
"Missouri",6151548,8,768944,11509,1.5194703175850073
"Montana",1080577,2,540288,-217147,-28.6687306501548
"Nebraska",1937552,3,645851,-111584,-14.731825173117166
"Nevada",3138259,4,784565,27130,3.5818255031784907
"New Hampshire",1366275,2,683138,-74297,-9.809026517126883
"New Jersey",8882371,12,740198,-17237,-2.2757068263283315
"New Mexico",2106319,3,702106,-55329,-7.3047852290955655
"New York",19336776,25,773471,16036,2.11714536560893
"North Carolina",10600823,14,757202,-233,-0.03076171552674487
"North Dakota",765309,1,765309,7874,1.039561150461756
"Ohio",11693217,15,779548,22113,2.919458435377293
"Oklahoma",3980783,5,796157,38722,5.112253856766587
"Oregon",4241507,6,706918,-50517,-6.669483189976698
"Pennsylvania",12783254,17,751956,-5479,-0.7233624007340564
"Rhode Island",1057125,1,1057125,299690,39.5664314429621
"South Carolina",5218040,7,745434,-12001,-1.5844263864225974
"South Dakota",892717,1,892717,135282,17.86054248879442
"Tennessee",6886834,9,765204,7769,1.025698574795197
"Texas",29360759,39,752840,-4595,-0.6066527160746467
"Utah",3249879,4,812470,55035,7.2659700172292006
"Vermont",623347,1,623347,-134088,-17.70290519978612
"Virginia",8590563,11,780960,23525,3.1058770719599704
"Washington",7693612,10,769361,11926,1.5745245466607696
"West Virginia",1784787,2,892394,134959,17.81789856555348
"Wisconsin",5832655,8,729082,-28353,-3.743291503561362
"Wyoming",582328,1,582328,-175107,-23.118419402324953
"District of Columbia",712816,1,712816,-44619,-5.890802511106564
"TOTAL",329484123,435,757435,0,0.0
