"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4921532,10,492153,13128,2.740566776264287
"Alaska",731158,2,365579,-113446,-23.68268879494807
"Arizona",7421401,16,463838,-15187,-3.1703982046866033
"Arkansas",3030522,6,505087,26062,5.440634622410104
"California",39368078,82,480099,1074,0.22420541725379678
"Colorado",5807719,12,483977,4952,1.0337665048797036
"Connecticut",3557006,7,508144,29119,6.078805907833621
"Delaware",986809,2,493404,14379,3.0017222483168937
"Florida",21733312,46,472463,-6562,-1.3698658733886542
"Georgia",10710017,22,486819,7794,1.6270549553781117
"Hawaii",1407006,3,469002,-10023,-2.0923751369970254
"Idaho",1826913,4,456728,-22297,-4.654663117791347
"Illinois",12587530,26,484136,5111,1.0669589269871094
"Indiana",6754953,14,482497,3472,0.7248055946975628
"Iowa",3163561,7,451937,-27088,-5.654819685820155
"Kansas",2913805,6,485634,6609,1.3796774698606544
"Kentucky",4477251,9,497472,18447,3.850947236574292
"Louisiana",4645318,10,464532,-14493,-3.0255205886957883
"Maine",1350141,3,450047,-28978,-6.0493711184176195
"Maryland",6055802,13,465831,-13194,-2.754344762799436
"Massachusetts",6893574,14,492398,13373,2.791712332341736
"Michigan",9966555,21,474598,-4427,-0.9241688847137414
"Minnesota",5657342,12,471445,-7580,-1.5823808778247481
"Mississippi",2966786,6,494464,15439,3.2230050623662647
"Missouri",6151548,13,473196,-5829,-1.2168467198997965
"Montana",1080577,2,540288,61263,12.789102865194927
"Nebraska",1937552,4,484388,5363,1.119565784666771
"Nevada",3138259,7,448323,-30702,-6.409268827305464
"New Hampshire",1366275,3,455425,-23600,-4.926673973174678
"New Jersey",8882371,19,467493,-11532,-2.4073900109597623
"New Mexico",2106319,4,526580,47555,9.92745681331872
"New York",19336776,40,483419,4394,0.9172798914461667
"North Carolina",10600823,22,481856,2831,0.5909921194092166
"North Dakota",765309,2,382654,-96371,-20.118156672407494
"Ohio",11693217,24,487217,8192,1.7101403893324985
"Oklahoma",3980783,8,497598,18573,3.8772506654141226
"Oregon",4241507,9,471279,-7746,-1.6170346015343666
"Pennsylvania",12783254,27,473454,-5571,-1.1629873179896666
"Rhode Island",1057125,2,528562,49537,10.341213924116694
"South Carolina",5218040,11,474367,-4658,-0.9723918375867647
"South Dakota",892717,2,446358,-32667,-6.81947706278378
"Tennessee",6886834,14,491917,12892,2.69130003653254
"Texas",29360759,61,481324,2299,0.47993319764104175
"Utah",3249879,7,464268,-14757,-3.0806325348363863
"Vermont",623347,1,623347,144322,30.128281404937113
"Virginia",8590563,18,477254,-1771,-0.36970930535984553
"Washington",7693612,16,480851,1826,0.38119096080580345
"West Virginia",1784787,4,446197,-32828,-6.853086999634675
"Wisconsin",5832655,12,486055,7030,1.467564323365169
"Wyoming",582328,1,582328,103303,21.565262773341683
"Puerto Rico",3193354,7,456193,-22832,-4.766348311674756
"TOTAL",331964661,693,479025,0,0.0
