"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4921532,10,492153,18085,3.8148535653113056
"Arizona",7421401,16,463838,-10230,-2.157918273327877
"Arkansas",3030522,6,505087,31019,6.543154146662504
"California",39368078,83,474314,246,0.051891289857151295
"Colorado",5807719,12,483977,9909,2.0902064682703747
"Connecticut",3557006,8,444626,-29442,-6.210501447049791
"Delaware",986809,2,493404,19336,4.07873975885316
"Florida",21733312,46,472463,-1605,-0.3385590252875115
"Georgia",10710017,23,465653,-8415,-1.7750618054793827
"Idaho",1826913,4,456728,-17340,-3.6577031143211522
"Illinois",12587530,26,484136,10068,2.123745960495119
"Indiana",6754953,14,482497,8429,1.7780149683167816
"Iowa",3163561,7,451937,-22131,-4.668317625319574
"Kansas",2913805,6,485634,11566,2.439734384096796
"Kentucky",4477251,9,497472,23404,4.936844503320199
"Louisiana",4645318,10,464532,-9536,-2.0115257726739624
"Maine",1350141,3,450047,-24021,-5.06699460836842
"Maryland",6055802,13,465831,-8237,-1.737514449403883
"Massachusetts",6893574,15,459572,-14496,-3.0577891779238424
"Michigan",9966555,21,474598,530,0.11179830741581377
"Minnesota",5657342,12,471445,-2623,-0.5532961516069425
"Mississippi",2966786,6,494464,20396,4.3023363736847875
"Missouri",6151548,13,473196,-872,-0.18393985672941435
"Montana",1080577,2,540288,66220,13.968460220896581
"Nebraska",1937552,4,484388,10320,2.1769028915682984
"Nevada",3138259,7,448323,-25745,-5.430655517773821
"New Hampshire",1366275,3,455425,-18643,-3.932558198401917
"New Jersey",8882371,19,467493,-6575,-1.3869318325641047
"New Mexico",2106319,4,526580,52512,11.07689192267776
"New York",19336776,41,471629,-2439,-0.5144831543154147
"North Carolina",10600823,22,481856,7788,1.6428022984044481
"North Dakota",765309,2,382654,-91414,-19.28288768699849
"Ohio",11693217,25,467729,-6339,-1.337149944733667
"Oklahoma",3980783,8,497598,23530,4.963422968856788
"Oregon",4241507,9,471279,-2789,-0.588312225250386
"Pennsylvania",12783254,27,473454,-614,-0.12951728444020688
"Rhode Island",1057125,2,528562,54494,11.494975404372369
"South Carolina",5218040,11,474367,299,0.06307112059873267
"South Dakota",892717,2,446358,-27710,-5.845153016023017
"Tennessee",6886834,15,459122,-14946,-3.1527122691259484
"Texas",29360759,62,473561,-507,-0.10694668275437277
"Utah",3249879,7,464268,-9800,-2.067213986179198
"Vermont",623347,1,623347,149279,31.488942514575967
"Virginia",8590563,18,477254,3186,0.6720554857109107
"Washington",7693612,16,480851,6783,1.4308073947197448
"West Virginia",1784787,4,446197,-27871,-5.879114388653105
"Wisconsin",5832655,12,486055,11987,2.528540209421433
"Wyoming",582328,1,582328,108260,22.836386341199997
"TOTAL",326633143,689,474068,0,0.0
