"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2832961,9,314773,12469,4.124655975441939
"Arizona",499261,2,249630,-52674,-17.424182280088917
"Arkansas",1949387,6,324898,22594,7.473933523870012
"California",6907387,23,300321,-1983,-0.6559622102254684
"Colorado",1123296,4,280824,-21480,-7.105430295331851
"Connecticut",1709242,6,284874,-17430,-5.765719275960622
"Delaware",266505,1,266505,-35799,-11.842053032708796
"Florida",1897414,6,316236,13932,4.6086059066370275
"Georgia",3123723,10,312372,10068,3.3304223563035884
"Idaho",524873,2,262436,-39868,-13.188049116121519
"Illinois",7897241,26,303740,1436,0.4750185243992802
"Indiana",3427796,11,311618,9314,3.0810045517095377
"Iowa",2538268,8,317284,14980,4.955276807452101
"Kansas",1801028,6,300171,-2133,-0.7055811368688473
"Kentucky",2845627,9,316181,13877,4.590412300201122
"Louisiana",2363880,8,295485,-6819,-2.2556764052080025
"Maine",847226,3,282409,-19895,-6.581123637133482
"Maryland",1821244,6,303541,1237,0.4091907483857309
"Massachusetts",4316721,14,308337,6033,1.9956732295966975
"Michigan",5256106,17,309183,6879,2.275523975865354
"Minnesota",2792300,9,310256,7952,2.630464697787658
"Mississippi",2183796,7,311971,9667,3.197774425743622
"Missouri",3784664,13,291128,-11176,-3.6969408277760136
"Montana",559456,2,279728,-22576,-7.467979252672806
"Nebraska",1315834,4,328958,26654,8.816952471684132
"Nevada",110247,1,110247,-192057,-63.531081295649415
"New Hampshire",491524,2,245762,-56542,-18.703689001799514
"New Jersey",4160165,14,297155,-5149,-1.7032523552450514
"New Mexico",531818,2,265909,-36395,-12.039205567905155
"New York",13479142,44,306344,4040,1.336403090928337
"North Carolina",3571623,12,297635,-4669,-1.544471789986239
"North Dakota",641935,2,320968,18664,6.173917645813486
"Ohio",6907612,23,300331,-1973,-0.6526542817825766
"Oklahoma",2336434,8,292054,-10250,-3.3906266539642216
"Oregon",1089684,4,272421,-29883,-9.885082565893935
"Pennsylvania",9900180,33,300005,-2299,-0.7604927490208532
"Rhode Island",713346,2,356673,54369,17.9848761511591
"South Carolina",1899804,6,316634,14330,4.740261458664126
"South Dakota",642961,2,321480,19176,6.343283582089552
"Tennessee",2915841,10,291584,-10720,-3.546099290780142
"Texas",6414824,21,305468,3164,1.0466285593310045
"Utah",550310,2,275155,-27149,-8.980694929607283
"Vermont",359231,1,359231,56927,18.831044246850855
"Virginia",2677773,9,297530,-4774,-1.579205038636604
"Washington",1736191,6,289365,-12939,-4.280128612257859
"West Virginia",1901974,6,316996,14692,4.860008468296813
"Wisconsin",3137587,10,313759,11455,3.7892320313326984
"Wyoming",250742,1,250742,-51562,-17.056340637239334
"Alaska",72524,1,72524,-229780,-76.00957976077062
"Hawaii",423330,1,423330,121026,40.03453477294379
"TOTAL",131502038,435,302304,0,0.0
