"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3475885,7,496555,192488,63.30446908082759
"Alaska",304067,1,304067,0,0.0
"Arizona",1787620,4,446905,142838,46.97583098461852
"Arkansas",1942303,4,485576,181509,59.69375170603847
"California",20098863,43,467415,163348,53.72105489908474
"Colorado",2226771,5,445354,141287,46.46574603623543
"Connecticut",3050693,6,508449,204382,67.21610697642296
"Delaware",551928,1,551928,247861,81.51525815034186
"Florida",6855702,15,457047,152980,50.31128007971927
"Georgia",4627306,10,462731,158664,52.18060493246555
"Hawaii",784901,2,392450,88383,29.066949060568888
"Idaho",719921,2,359960,55893,18.381804010300364
"Illinois",11184320,24,466013,161946,53.259972308734596
"Indiana",5228156,11,475287,171220,56.30995800267704
"Iowa",2846920,6,474487,170420,56.046858093775384
"Kansas",2265846,5,453169,149102,49.035903271318496
"Kentucky",3246481,7,463783,159716,52.52658131267122
"Louisiana",3672008,8,459001,154934,50.95390160721157
"Maine",1006320,2,503160,199093,65.47668770369688
"Maryland",3953698,8,494212,190145,62.533915222631855
"Massachusetts",5726676,12,477223,173156,56.94665978221906
"Michigan",8937196,19,470379,166312,54.695840061565384
"Minnesota",3833173,8,479147,175080,57.579415063127534
"Mississippi",2233848,5,446770,142703,46.931432874991366
"Missouri",4718034,10,471803,167736,55.16415789941033
"Montana",701573,2,350786,46719,15.364705804970615
"Nebraska",1496820,3,498940,194873,64.08883568424064
"Nevada",492396,1,492396,188329,61.93667842942509
"New Hampshire",746284,2,373142,69075,22.717032759227408
"New Jersey",7208035,15,480536,176469,58.03622227995804
"New Mexico",1026664,2,513332,209265,68.82200304538144
"New York",18338055,39,470207,166140,54.63927358115153
"North Carolina",5125230,11,465930,161863,53.23267569318604
"North Dakota",624181,1,624181,320114,105.27745529768112
"Ohio",10730200,23,466530,162463,53.43000062486228
"Oklahoma",2585486,6,430914,126847,41.71679268056053
"Oregon",2110810,4,527702,223635,73.54793515902746
"Pennsylvania",11884314,25,475373,171306,56.33824124288397
"Rhode Island",957798,2,478899,174832,57.49785409136802
"South Carolina",2617320,6,436220,132153,43.46180282635077
"South Dakota",673247,2,336624,32557,10.70717966763904
"Tennessee",3961060,8,495132,191065,62.83648011786875
"Texas",11298787,24,470783,166716,54.82870551556071
"Utah",1067810,2,533905,229838,75.58794607767368
"Vermont",448327,1,448327,144260,47.44349107269122
"Virginia",4690742,10,469074,165007,54.26665833516955
"Washington",3443487,7,491927,187860,61.782436107831494
"West Virginia",1763331,4,440833,136766,44.97890267605495
"Wisconsin",4447013,9,494113,190046,62.501356608905276
"Wyoming",335719,1,335719,31652,10.409547895694041
"TOTAL",204053325,435,469088,165021,54.27126258357533
