"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2348174,10,234817,-8772,-3.601147835082865
"Arizona",309754,1,309754,66165,27.162556601488575
"Arkansas",1752204,7,250315,6726,2.761208428952046
"California",3426031,14,244716,1127,0.4626645702392144
"Colorado",939161,4,234790,-8799,-3.6122320794452953
"Connecticut",1380631,6,230105,-13484,-5.535553740111418
"Delaware",223003,1,223003,-20586,-8.451120534999527
"Florida",968470,4,242118,-1471,-0.6038860539679543
"Georgia",2895832,12,241319,-2270,-0.9318975815820911
"Idaho",430442,2,215221,-28368,-11.645846076793287
"Illinois",6485280,26,249434,5845,2.39953364068164
"Indiana",2930390,12,244199,610,0.2504218170771258
"Iowa",2404021,10,240402,-3187,-1.3083513623357377
"Kansas",1769257,7,252751,9162,3.7612535869846337
"Kentucky",2416630,10,241663,-1926,-0.7906760978533514
"Louisiana",1798509,7,256930,13341,5.476848297747435
"Maine",768014,3,256005,12416,5.097110296441958
"Maryland",1449661,6,241610,-1979,-0.8124340590092328
"Massachusetts",3852356,16,240772,-2817,-1.1564561618135465
"Michigan",3668412,15,244561,972,0.3990327970474857
"Minnesota",2385656,10,238566,-5023,-2.0620799789809885
"Mississippi",1790618,7,255803,12214,5.014183727508221
"Missouri",3404055,14,243147,-442,-0.18145318548867148
"Montana",541511,2,270756,27167,11.152802466449636
"Nebraska",1296372,5,259274,15685,6.439124919433964
"Nevada",75820,1,75820,-167769,-68.8737997200202
"New Hampshire",443083,2,221542,-22047,-9.050901313277693
"New Jersey",3155900,13,242762,-827,-0.33950629954554595
"New Mexico",353428,2,176714,-66875,-27.45403117546359
"New York",10380987,42,247166,3577,1.4684571142375067
"North Carolina",2559123,10,255912,12323,5.058931232526921
"North Dakota",645145,3,215048,-28541,-11.716867346226637
"Ohio",5759394,23,250408,6819,2.7993874928670834
"Oklahoma",2028283,8,253535,9946,4.083107201064087
"Oregon",783389,3,261130,17541,7.201064087458793
"Pennsylvania",8720017,35,249143,5554,2.2800701181087812
"Rhode Island",604397,3,201466,-42123,-17.292652788097985
"South Carolina",1683724,7,240532,-3057,-1.2549827783684813
"South Dakota",631239,3,210413,-33176,-13.619662628443812
"Tennessee",2337885,9,259765,16176,6.640693955802601
"Texas",4663228,19,245433,1844,0.7570128371970819
"Utah",448388,2,224194,-19395,-7.962182200345665
"Vermont",352428,2,176214,-67375,-27.659294959953034
"Virginia",2309187,9,256576,12987,5.331521538328906
"Washington",1354596,6,225766,-17823,-7.316832861910842
"West Virginia",1463701,6,243950,361,0.14820045240138102
"Wisconsin",2631305,11,239210,-4379,-1.7977002245585805
"Wyoming",193487,1,193487,-50102,-20.568252260980586
"Alaska",55036,1,55036,-188553,-77.40620471367755
"Hawaii",255912,1,255912,12323,5.058931232526921
"District of Columbia",437571,2,218786,-24803,-10.182315293383528
"TOTAL",105961097,435,243589,0,0.0
