"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4461130,7,637304,-19065,-2.9046161534137047
"Alaska",628933,1,628933,-27436,-4.179965842384391
"Arizona",5140683,8,642585,-13784,-2.1000382406847367
"Arkansas",2679733,4,669933,13564,2.0665205090429315
"California",33930798,52,652515,-3854,-0.5871697170341683
"Colorado",4311882,7,615983,-40386,-6.152941409481557
"Connecticut",3409535,5,681907,25538,3.890799230310999
"Delaware",785068,1,785068,128699,19.607720657130365
"Florida",16028890,24,667870,11501,1.7522155982381862
"Georgia",8206975,12,683915,27546,4.196724708205293
"Hawaii",1216642,2,608321,-48048,-7.320272590570243
"Idaho",1297274,2,648637,-7732,-1.1779959138838063
"Illinois",12439042,19,654686,-1683,-0.25641064705980937
"Indiana",6090782,9,676754,20385,3.1057225432645357
"Iowa",2931923,4,732981,76612,11.672092984281706
"Kansas",2693824,4,673456,17087,2.6032612752887476
"Kentucky",4049431,6,674905,18536,2.824021244147728
"Louisiana",4480271,7,640039,-16330,-2.4879298077758087
"Maine",1277731,2,638866,-17503,-2.666640258756888
"Maryland",5307886,8,663486,7117,1.0842986186123964
"Massachusetts",6355568,10,635557,-20812,-3.1707774133147666
"Michigan",9955829,15,663722,7353,1.1202540034645148
"Minnesota",4925670,8,615709,-40660,-6.194686220708169
"Mississippi",2852927,4,713232,56863,8.663267156127118
"Missouri",5606260,9,622918,-33451,-5.096371096136472
"Montana",905316,1,905316,248947,37.92790335923848
"Nebraska",1715369,3,571790,-84579,-12.885891929691986
"Nevada",2002032,3,667344,10975,1.672077748949143
"New Hampshire",1238415,2,619208,-37161,-5.661601934277822
"New Jersey",8424354,13,648027,-8342,-1.270931442526993
"New Mexico",1823821,3,607940,-48429,-7.378319207640824
"New York",19004973,29,655344,-1025,-0.15616215878568304
"North Carolina",8067673,12,672306,15937,2.4280549507974936
"North Dakota",643756,1,643756,-12613,-1.9216324963549465
"Ohio",11374540,17,669091,12722,1.9382390088502046
"Oklahoma",3458819,5,691764,35395,5.392545961189514
"Oregon",3428543,5,685709,29340,4.470046574411649
"Pennsylvania",12300670,19,647404,-8965,-1.3658475644035595
"Rhode Island",1049662,2,524831,-131538,-20.040251748635296
"South Carolina",4025061,6,670844,14475,2.205314388705134
"South Dakota",756874,1,756874,100505,15.31227099390739
"Tennessee",5700037,9,633337,-23032,-3.5090017962457094
"Texas",20903994,32,653250,-3119,-0.4751900226854102
"Utah",2236714,3,745571,89202,13.590221354146829
"Vermont",609890,1,609890,-46479,-7.0812302226339146
"Virginia",7100702,11,645518,-10851,-1.6531859365692163
"Washington",5908684,9,656520,151,0.023005352172329897
"West Virginia",1813077,3,604359,-52010,-7.923896466774025
"Wisconsin",5371210,8,671401,15032,2.290175191089159
"Wyoming",495304,1,495304,-161065,-24.53878839494248
"District of Columbia",574096,1,574096,-82273,-12.534565160755612
"Puerto Rico",3522037,5,704407,48038,7.318749057313798
"TOTAL",285520310,435,656369,0,0.0
