"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3061743,9,340194,-10919,-3.1098250420804696
"Arizona",749587,2,374794,23681,6.744552323610916
"Arkansas",1909511,5,381902,30789,8.768971812493414
"California",10586223,30,352874,1761,0.5015479347104778
"Colorado",1325089,4,331272,-19841,-5.650887321175803
"Connecticut",2007280,6,334547,-16566,-4.718139174567732
"Delaware",318085,1,318085,-33028,-9.406658255319513
"Florida",2771305,8,346413,-4700,-1.3386003936054773
"Georgia",3444578,10,344458,-6655,-1.8954011956264794
"Idaho",588637,2,294318,-56795,-16.175704118047467
"Illinois",8712176,25,348487,-2626,-0.7479073688527624
"Indiana",3934224,11,357657,6544,1.8637874416498394
"Iowa",2621073,7,374439,23326,6.643445272604547
"Kansas",1905299,5,381060,29947,8.529162976021965
"Kentucky",2944806,8,368101,16988,4.838328401397841
"Louisiana",2683516,8,335440,-15673,-4.463805099782691
"Maine",913774,3,304591,-46522,-13.249865427939152
"Maryland",2343001,7,334714,-16399,-4.670576139305579
"Massachusetts",4690514,13,360809,9696,2.7615041311486612
"Michigan",6371766,18,353987,2874,0.8185399002600303
"Minnesota",2982483,8,372810,21697,6.179492072352775
"Mississippi",2178914,6,363152,12039,3.428810667790711
"Missouri",3954653,11,359514,8401,2.3926770014211947
"Montana",591024,2,295512,-55601,-15.835642656352796
"Nebraska",1325510,4,331378,-19735,-5.620697610171085
"Nevada",160083,1,160083,-191030,-54.406985785203055
"New Hampshire",533242,2,266621,-84492,-24.064047756705108
"New Jersey",4835329,14,345381,-5732,-1.632522863009914
"New Mexico",681187,2,340594,-10519,-2.9959016043268125
"New York",14830192,42,353100,1987,0.5659146770412944
"North Carolina",4061929,12,338494,-12619,-3.5939996525335145
"North Dakota",619636,2,309818,-41295,-11.761170905093232
"Ohio",7946627,22,361210,10097,2.8757123774967033
"Oklahoma",2233351,6,372225,21112,6.012879044638051
"Oregon",1521341,4,380335,29222,8.32267674509346
"Pennsylvania",10498012,30,349934,-1179,-0.33578933277890594
"Rhode Island",791896,2,395948,44835,12.769393329213102
"South Carolina",2117027,6,352838,1725,0.4912948253126486
"South Dakota",652740,2,326370,-24743,-7.047019050846878
"Tennessee",3291718,9,365746,14633,4.167604161623181
"Texas",7711194,22,350509,-604,-0.17202439100802305
"Utah",688862,2,344431,-6682,-1.9030910276748512
"Vermont",377747,1,377747,26634,7.585592102827294
"Virginia",3318680,9,368742,17629,5.020890710398077
"Washington",2378963,7,339852,-11261,-3.2072295813598473
"West Virginia",2005552,6,334259,-16854,-4.800164049750365
"Wisconsin",3434575,10,343458,-7655,-2.180209790010623
"Wyoming",290529,1,290529,-60584,-17.254843882168988
"Alaska",128643,1,128643,-222470,-63.36136799264055
"Hawaii",499794,1,499794,148681,42.34562662162894
"Puerto Rico",2210703,6,368450,17337,4.937726600837907
"TOTAL",152734323,435,351113,0,0.0
