"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4802982,7,686140,-19826,-2.808350543793894
"Arizona",6412700,9,712522,6556,0.9286566208570952
"Arkansas",2926229,4,731557,25591,3.6249621086567907
"California",37341989,53,704566,-1400,-0.19830983361804957
"Colorado",5044930,7,720704,14738,2.087635948473439
"Connecticut",3581628,5,716326,10360,1.467492768773567
"Delaware",900877,1,900877,194911,27.609119985948332
"Florida",18900773,27,700029,-5937,-0.840975344421686
"Georgia",9727566,14,694826,-11140,-1.5779796760750517
"Idaho",1573499,2,786750,80784,11.443043999286084
"Illinois",12864380,18,714688,8722,1.2354702634404489
"Indiana",6501582,9,722398,16432,2.327590847151279
"Iowa",3053787,4,763447,57481,8.142176818713649
"Kansas",2863813,4,715953,9987,1.4146573631024724
"Kentucky",4350606,6,725101,19135,2.7104704759152707
"Louisiana",4553962,6,758994,53028,7.511409897927096
"Maine",1333074,2,666537,-39429,-5.585113164090055
"Maryland",5789929,8,723741,17775,2.5178266375434513
"Massachusetts",6559644,9,728849,22883,3.241374230487021
"Michigan",9911626,14,707973,2007,0.28429131147958964
"Minnesota",5314879,8,664360,-41606,-5.893484955366122
"Mississippi",2978240,4,744560,38594,5.466835513325004
"Missouri",6011478,9,667942,-38024,-5.386095081066227
"Montana",994416,1,994416,288450,40.858908219376005
"Nebraska",1831825,3,610608,-95358,-13.50744936724998
"Nevada",2709432,4,677358,-28608,-4.052319800103687
"New Hampshire",1321445,2,660722,-45244,-6.40880722301074
"New Jersey",8807501,12,733958,27992,3.965063473311746
"New Mexico",2067273,3,689091,-16875,-2.390341744503276
"New York",19421055,28,693609,-12357,-1.7503675814415993
"North Carolina",9565781,14,683270,-22696,-3.2148857027108955
"North Dakota",675905,1,675905,-30061,-4.258137077422992
"Ohio",11568495,16,723031,17065,2.417255221922869
"Oklahoma",3764882,5,752976,47010,6.658960913131794
"Oregon",3848606,5,769721,63755,9.030888173084822
"Pennsylvania",12734905,18,707495,1529,0.21658266828714132
"Rhode Island",1055247,2,527624,-178342,-25.262123105078715
"South Carolina",4645975,7,663711,-42255,-5.985415728236204
"South Dakota",819761,1,819761,113795,16.119048226118537
"Tennessee",6375431,9,708381,2415,0.34208446299113554
"Texas",25268418,36,701900,-4066,-0.5759484167792783
"Utah",2770765,4,692691,-13275,-1.8804021723425774
"Vermont",630337,1,630337,-75629,-10.712838861928194
"Virginia",8037736,11,730703,24737,3.5039931101497808
"Washington",6753369,10,675337,-30629,-4.338594209919458
"West Virginia",1859815,3,619938,-86028,-12.185855976066836
"Wisconsin",5698230,8,712279,6313,0.894235699736248
"Wyoming",568300,1,568300,-137666,-19.50037253918744
"TOTAL",307095078,435,705966,0,0.0
