"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3266740,10,326674,10640,3.3667263648847907
"Alaska",226167,1,226167,-89867,-28.435864495592245
"Arizona",1302161,4,325540,9506,3.0079042128378592
"Arkansas",1786272,6,297712,-18322,-5.797477486599543
"California",15717204,49,320759,4725,1.4950923001955485
"Colorado",1753947,6,292324,-23710,-7.502357341298721
"Connecticut",2535234,8,316904,870,0.275286836226482
"Delaware",446292,1,446292,130258,41.21645139447022
"Florida",4951560,16,309472,-6562,-2.0763588727795113
"Georgia",3943116,12,328593,12559,3.973939512837226
"Hawaii",632772,2,316386,352,0.11138042109393292
"Idaho",667191,2,333596,17562,5.556997031964915
"Illinois",10081158,32,315036,-998,-0.31578880753336663
"Indiana",4662498,15,310833,-5201,-1.645709005993026
"Iowa",2757537,9,306393,-9641,-3.050621135700589
"Kansas",2178611,7,311230,-4804,-1.5200896106115165
"Kentucky",3038156,10,303816,-12218,-3.866039729902479
"Louisiana",3257022,10,325702,9668,3.0591645202731352
"Maine",969265,3,323088,7054,2.2320383249903495
"Maryland",3100689,10,310069,-5965,-1.8874551472309942
"Massachusetts",5148578,16,321786,5752,1.8200573356031313
"Michigan",7823194,25,312928,-3106,-0.9828056474936241
"Minnesota",3413864,11,310351,-5683,-1.7982242416955136
"Mississippi",2178141,7,311163,-4871,-1.541289861217464
"Missouri",4319813,14,308558,-7476,-2.3655682616427347
"Montana",674767,2,337384,21350,6.755602245328034
"Nebraska",1411330,4,352832,36798,11.643683907427683
"Nevada",285278,1,285278,-30756,-9.73186429308239
"New Hampshire",606921,2,303460,-12574,-3.978685837599752
"New Jersey",6066782,19,319304,3270,1.03469879823057
"New Mexico",951023,3,317008,974,0.30819468791332577
"New York",16782304,53,316647,613,0.19396647196187752
"North Carolina",4556155,14,325440,9406,2.9762620477543558
"North Dakota",632446,2,316223,189,0.05980369200782195
"Ohio",9706397,31,313110,-2924,-0.9252169070416474
"Oklahoma",2328284,7,332612,16578,5.245638127543239
"Oregon",1768687,6,294781,-21253,-6.724909345197036
"Pennsylvania",11319366,36,314427,-1607,-0.5084895928919041
"Rhode Island",859488,3,286496,-29538,-9.346462722365315
"South Carolina",2382594,8,297824,-18210,-5.762038261706019
"South Dakota",680514,2,340257,24223,7.664681648177095
"Tennessee",3567089,11,324281,8247,2.609529354436548
"Texas",9579677,30,319323,3289,1.0407108095964357
"Utah",890627,3,296876,-19158,-6.062005986697634
"Vermont",389881,1,389881,73847,23.366789649214958
"Virginia",3966949,13,305150,-10884,-3.4439332476885394
"Washington",2853214,9,317024,990,0.31325743432668635
"West Virginia",1860421,6,310070,-5964,-1.8871387255801593
"Wisconsin",3951777,12,329315,13281,4.202395944740123
"Wyoming",330066,1,330066,14032,4.440028604517235
"TOTAL",178559219,565,316034,0,0.0
