"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3475885,10,347588,1029,0.2969191393096125
"Alaska",304067,1,304067,-42492,-12.261115711898984
"Arizona",1787620,5,357524,10965,3.163963423255492
"Arkansas",1942303,6,323717,-22842,-6.591085500592972
"California",20098863,58,346532,-27,-0.007790881206374672
"Colorado",2226771,6,371128,24569,7.08941334664516
"Connecticut",3050693,9,338966,-7593,-2.190968925926033
"Delaware",551928,2,275964,-70595,-20.37026884311185
"Florida",6855702,20,342785,-3774,-1.0889920619577043
"Georgia",4627306,13,355947,9388,2.7089182505720526
"Hawaii",784901,2,392450,45891,13.241901090434819
"Idaho",719921,2,359960,13401,3.866874038763962
"Illinois",11184320,32,349510,2951,0.8515144607411725
"Indiana",5228156,15,348544,1985,0.5727740442464342
"Iowa",2846920,8,355865,9306,2.685257055797137
"Kansas",2265846,7,323692,-22867,-6.598299279487764
"Kentucky",3246481,9,360720,14161,4.086172917165619
"Louisiana",3672008,11,333819,-12740,-3.676141724785679
"Maine",1006320,3,335440,-11119,-3.2084003012474063
"Maryland",3953698,11,359427,12868,3.7130762727270104
"Massachusetts",5726676,16,357917,11358,3.277364027481612
"Michigan",8937196,26,343738,-2821,-0.8140028104882574
"Minnesota",3833173,11,348470,1911,0.5514212587178517
"Mississippi",2233848,6,372308,25749,7.429903710479311
"Missouri",4718034,14,337002,-9557,-2.7576833959008424
"Montana",701573,2,350786,4227,1.2197057355313237
"Nebraska",1496820,4,374205,27646,7.977285253016081
"Nevada",492396,2,246198,-100361,-28.95928254640624
"New Hampshire",746284,2,373142,26583,7.670555374409552
"New Jersey",7208035,21,343240,-3319,-0.9577012860725013
"New Mexico",1026664,3,342221,-4338,-1.2517349138241973
"New York",18338055,53,346001,-558,-0.16101154493174322
"North Carolina",5125230,15,341682,-4877,-1.4072639867958991
"North Dakota",624181,2,312090,-34469,-9.94606978898254
"Ohio",10730200,31,346135,-424,-0.12234569005566151
"Oklahoma",2585486,7,369355,22796,6.577812147426557
"Oregon",2110810,6,351802,5243,1.5128737098156446
"Pennsylvania",11884314,34,349539,2980,0.8598824442591305
"Rhode Island",957798,3,319266,-27293,-7.875426695021627
"South Carolina",2617320,8,327165,-19394,-5.596161115423348
"South Dakota",673247,2,336624,-9935,-2.8667557327900877
"Tennessee",3961060,11,360096,13537,3.9061169959516273
"Texas",11298787,33,342387,-4172,-1.2038354219627827
"Utah",1067810,3,355937,9378,2.706032739014136
"Vermont",448327,1,448327,101768,29.3652740226051
"Virginia",4690742,14,335053,-11506,-3.3200695985387765
"Washington",3443487,10,344349,-2210,-0.6376980542995565
"West Virginia",1763331,5,352666,6107,1.7621819084196342
"Wisconsin",4447013,13,342078,-4481,-1.292997729102404
"Wyoming",335719,1,335719,-10840,-3.127894528781535
"District of Columbia",762971,2,381486,34927,10.078226218335118
"TOTAL",204816296,591,346559,0,0.0
