"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2646242,11,240567,-8039,-3.233630724922166
"Arizona",389375,2,194688,-53918,-21.688133029774022
"Arkansas",1854444,7,264921,16315,6.562593018672115
"California",5668241,23,246445,-2161,-0.8692469208305511
"Colorado",1034849,4,258712,10106,4.065066812546761
"Connecticut",1606897,6,267816,19210,7.727086232834283
"Delaware",238380,1,238380,-10226,-4.113335961320322
"Florida",1468191,6,244698,-3908,-1.5719652783923157
"Georgia",2908446,12,242370,-6236,-2.5083867645994062
"Idaho",441536,2,220768,-27838,-11.197638029653346
"Illinois",7630388,30,254346,5740,2.3088742830020195
"Indiana",3238480,13,249114,508,0.20433939647474317
"Iowa",2470420,10,247042,-1564,-0.6291079056820833
"Kansas",1879498,8,234937,-13669,-5.498258288215087
"Kentucky",2614575,10,261458,12852,5.169625833648424
"Louisiana",2101593,8,262699,14093,5.668809280548338
"Maine",797418,3,265806,17200,6.918577990877131
"Maryland",1631522,7,233075,-15531,-6.247234580018182
"Massachusetts",4249598,17,249976,1370,0.5510727818314923
"Michigan",4842052,19,254845,6239,2.5095934933187456
"Minnesota",2551583,10,255158,6552,2.635495523036451
"Mississippi",2008154,8,251019,2413,0.9706121332550299
"Missouri",3629110,14,259222,10616,4.270210694834397
"Montana",524729,2,262364,13758,5.534057906888812
"Nebraska",1375123,6,229187,-19419,-7.81115500028157
"Nevada",86390,1,86390,-162216,-65.25023531210027
"New Hampshire",465292,2,232646,-15960,-6.419796786883664
"New Jersey",4041319,16,252582,3976,1.5993177960306668
"New Mexico",395982,2,197991,-50615,-20.35952470978174
"New York",12587967,50,251759,3153,1.268271884025325
"North Carolina",3167274,13,243636,-4970,-1.9991472450383339
"North Dakota",673340,3,224447,-24159,-9.717786376837244
"Ohio",6646633,26,255640,7034,2.8293766039435893
"Oklahoma",2382222,10,238222,-10384,-4.1768903405388444
"Oregon",950379,4,237595,-11011,-4.429096642880703
"Pennsylvania",9631299,38,253455,4849,1.9504758533583262
"Rhode Island",687497,3,229166,-19440,-7.819602101316943
"South Carolina",1738760,7,248394,-212,-0.08527549616662511
"South Dakota",673005,3,224335,-24271,-9.762837582359236
"Tennessee",2616497,10,261650,13044,5.2468564716861215
"Texas",5824601,23,253244,4638,1.8656026000981472
"Utah",505741,2,252870,4264,1.7151637530872141
"Vermont",359611,2,179806,-68800,-27.674311963508526
"Virginia",2421829,10,242183,-6423,-2.5836061881048726
"Washington",1552423,6,258737,10131,4.075122885207919
"West Virginia",1729199,7,247028,-1578,-0.6347393063723321
"Wisconsin",2931721,12,244310,-4296,-1.7280355260934972
"Wyoming",223630,1,223630,-24976,-10.046418831403908
"Alaska",59278,1,59278,-189328,-76.15584499167358
"Hawaii",368336,2,184168,-64438,-25.919728405589566
"District of Columbia",486869,2,243434,-5172,-2.0804003121404953
"Puerto Rico",1543913,6,257319,8713,3.5047424438670025
"TOTAL",124551851,501,248606,0,0.0
