"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3890061,10,389006,15330,4.102484505293356
"Alaska",400481,1,400481,26805,7.173326625204723
"Arizona",2717866,7,388267,14591,3.9047195966559265
"Arkansas",2285513,6,380919,7243,1.9383101938577805
"California",23668562,63,375691,2015,0.539237200141299
"Colorado",2888834,8,361104,-12572,-3.3644119504597567
"Connecticut",3107576,8,388447,14771,3.9528896691251245
"Delaware",595225,2,297612,-76064,-20.355602179428168
"Florida",9739992,26,374615,939,0.2512872113809825
"Georgia",5464265,15,364284,-9392,-2.51340733683726
"Hawaii",965000,3,321667,-52009,-13.918207216947302
"Idaho",943935,3,314645,-59031,-15.797375266273455
"Illinois",11418461,30,380615,6939,1.8569562936875796
"Indiana",5490179,15,366012,-7664,-2.05097464113296
"Iowa",2913387,8,364173,-9503,-2.543112214859932
"Kansas",2363208,6,393868,20192,5.4036116849891345
"Kentucky",3661433,10,366143,-7533,-2.0159175328359327
"Louisiana",4203972,11,382179,8503,2.2755007011421657
"Maine",1124660,3,374887,1211,0.3240775431122148
"Maryland",4216446,11,383313,9637,2.5789721576981126
"Massachusetts",5737037,15,382469,8793,2.353108040120318
"Michigan",9258344,25,370334,-3342,-0.8943576788447747
"Minnesota",4077148,11,370650,-3026,-0.8097924405099605
"Mississippi",2520638,7,360091,-13585,-3.635502413855854
"Missouri",4917444,13,378265,4589,1.228069236450829
"Montana",786690,2,393345,19669,5.263650863314743
"Nebraska",1570006,4,392502,18826,5.038054357250667
"Nevada",799184,2,399592,25916,6.935419989509628
"New Hampshire",920610,3,306870,-66806,-17.878054785429086
"New Jersey",7364158,20,368208,-5468,-1.4632997570087454
"New Mexico",1299968,3,433323,59647,15.962223958723602
"New York",17557288,47,373559,-117,-0.031310547104978645
"North Carolina",5874429,16,367152,-6524,-1.7458975154947067
"North Dakota",652695,2,326348,-47328,-12.665517721234437
"Ohio",10797419,29,372325,-1351,-0.3615431550327021
"Oklahoma",3025266,8,378158,4482,1.199434804483028
"Oregon",2632663,7,376095,2419,0.6473522516832764
"Pennsylvania",11866728,32,370835,-2841,-0.7602843104721738
"Rhode Island",947154,3,315718,-57958,-15.510228112054293
"South Carolina",3119208,8,389901,16225,4.341996810070756
"South Dakota",690178,2,345089,-28587,-7.650210342649783
"Tennessee",4590750,12,382562,8886,2.3779959108960704
"Texas",14228383,38,374431,755,0.20204669285691346
"Utah",1461037,4,365259,-8417,-2.252486110962438
"Vermont",511456,1,511456,137780,36.87151436003383
"Virginia",5346279,14,381877,8201,2.1946820239994005
"Washington",4130163,11,375469,1793,0.47982744409595474
"West Virginia",1949644,5,389929,16253,4.349489932454854
"Wisconsin",4705335,13,361949,-11727,-3.138280221368244
"Wyoming",470816,1,470816,97140,25.995782442543806
"Puerto Rico",3196520,9,355169,-18507,-4.952686284374699
"TOTAL",229063694,613,373676,0,0.0
