"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",2646242,11,240567,-5094,-2.073589214405217
"Arizona",389375,2,194688,-50973,-20.749325289728528
"Arkansas",1854444,7,264921,19260,7.84007229474764
"California",5668241,23,246445,784,0.31913897606864744
"Colorado",1034849,4,258712,13051,5.312605582489692
"Connecticut",1606897,6,267816,22155,9.01852552908276
"Delaware",238380,1,238380,-7281,-2.963840414229365
"Florida",1468191,6,244698,-963,-0.392003614737382
"Georgia",2908446,12,242370,-3291,-1.339650982451427
"Idaho",441536,2,220768,-24893,-10.133069555200052
"Illinois",7630388,31,246142,481,0.19579827485844314
"Indiana",3238480,13,249114,3453,1.4055955157717344
"Iowa",2470420,10,247042,1381,0.5621567933045946
"Kansas",1879498,8,234937,-10724,-4.365365279796142
"Kentucky",2614575,11,237689,-7972,-3.2451223433919103
"Louisiana",2101593,8,262699,17038,6.935573819206143
"Maine",797418,3,265806,20145,8.200324837886356
"Maryland",1631522,7,233075,-12586,-5.123320347959179
"Massachusetts",4249598,17,249976,4315,1.7564855634390482
"Michigan",4842052,19,254845,9184,3.7384851482327273
"Minnesota",2551583,10,255158,9497,3.865896499647889
"Mississippi",2008154,8,251019,5358,2.181054379816088
"Missouri",3629110,15,241941,-3720,-1.5142818762440926
"Montana",524729,2,262364,16703,6.799207037340074
"Nebraska",1375123,6,229187,-16474,-6.705989147646553
"Nevada",86390,1,86390,-159271,-64.83365287937443
"New Hampshire",465292,2,232646,-13015,-5.297951241751845
"New Jersey",4041319,16,252582,6921,2.8172970068509042
"New Mexico",395982,2,197991,-47670,-19.404789527031152
"New York",12587967,51,246823,1162,0.47300955381603105
"North Carolina",3167274,13,243636,-2025,-0.8243066665038407
"North Dakota",673340,3,224447,-21214,-8.635477344796284
"Ohio",6646633,27,246172,511,0.20801022547331485
"Oklahoma",2382222,10,238222,-7439,-3.028156687467689
"Oregon",950379,4,237595,-8066,-3.283386455318508
"Pennsylvania",9631299,39,246956,1295,0.5271492015419623
"Rhode Island",687497,3,229166,-16495,-6.714537513076964
"South Carolina",1738760,7,248394,2733,1.1125087010148131
"South Dakota",673005,3,224335,-21326,-8.681068627091806
"Tennessee",2616497,11,237863,-7798,-3.174293029825654
"Texas",5824601,23,253244,7583,3.0867740504190735
"Utah",505741,2,252870,7209,2.9345317327536726
"Vermont",359611,2,179806,-65855,-26.80726692474589
"Virginia",2421829,10,242183,-3478,-1.4157721412841273
"Washington",1552423,6,258737,13076,5.322782208002084
"West Virginia",1729199,7,247028,1367,0.5564578830176544
"Wisconsin",2931721,12,244310,-1351,-0.5499448426897228
"Wyoming",223630,1,223630,-22031,-8.96804946654129
"TOTAL",122093455,497,245661,0,0.0
