"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3266740,14,233339,7172,3.1711080750065213
"Alaska",226167,1,226167,0,0.0
"Arizona",1302161,6,217027,-9140,-4.041261545672004
"Arkansas",1786272,8,223284,-2883,-1.2747217763864755
"California",15717204,69,227786,1619,0.7158427179915726
"Colorado",1753947,8,219243,-6924,-3.0614545888657494
"Connecticut",2535234,11,230476,4309,1.905229321695915
"Delaware",446292,2,223146,-3021,-1.3357386356099696
"Florida",4951560,22,225071,-1096,-0.4845976645576056
"Georgia",3943116,17,231948,5781,2.556075820079853
"Hawaii",632772,3,210924,-15243,-6.739710037273343
"Idaho",667191,3,222397,-3770,-1.6669098498012531
"Illinois",10081158,44,229117,2950,1.3043459036906357
"Indiana",4662498,21,222024,-4143,-1.8318322301662047
"Iowa",2757537,12,229795,3628,1.6041243859625853
"Kansas",2178611,10,217861,-8306,-3.672507483408278
"Kentucky",3038156,13,233704,7537,3.3324932461411256
"Louisiana",3257022,14,232644,6477,2.8638130231200836
"Maine",969265,4,242316,16149,7.1402989826101955
"Maryland",3100689,14,221478,-4689,-2.0732467601374207
"Massachusetts",5148578,23,223851,-2316,-1.0240220721855975
"Michigan",7823194,35,223520,-2647,-1.1703741040912246
"Minnesota",3413864,15,227591,1424,0.6296232430018527
"Mississippi",2178141,10,217814,-8353,-3.6932885876365695
"Missouri",4319813,19,227359,1192,0.5270441753217755
"Montana",674767,3,224922,-1245,-0.5504781864728276
"Nebraska",1411330,6,235222,9055,4.003678697599562
"Nevada",285278,1,285278,59111,26.135996851883785
"New Hampshire",606921,3,202307,-23860,-10.549726529511378
"New Jersey",6066782,27,224696,-1471,-0.6504043472301441
"New Mexico",951023,4,237756,11589,5.124089721312128
"New York",16782304,74,226788,621,0.27457586650572363
"North Carolina",4556155,20,227808,1641,0.7255700433750282
"North Dakota",632446,3,210815,-15352,-6.787904513036827
"Ohio",9706397,43,225730,-437,-0.19322005420773145
"Oklahoma",2328284,10,232828,6661,2.9451688354180763
"Oregon",1768687,8,221086,-5081,-2.2465700124244474
"Pennsylvania",11319366,50,226387,220,0.09727325383455589
"Rhode Island",859488,4,214872,-11295,-4.994097282096858
"South Carolina",2382594,11,216599,-9568,-4.2305022394955945
"South Dakota",680514,3,226838,671,0.29668342419539545
"Tennessee",3567089,16,222943,-3224,-1.425495319830037
"Texas",9579677,42,228088,1921,0.8493723664371903
"Utah",890627,4,222657,-3510,-1.5519505498149597
"Vermont",389881,2,194940,-31227,-13.807054079507619
"Virginia",3966949,18,220386,-5781,-2.556075820079853
"Washington",2853214,13,219478,-6689,-2.957549067724292
"West Virginia",1860421,8,232553,6386,2.823577268124881
"Wisconsin",3951777,17,232457,6290,2.781130757360711
"Wyoming",330066,2,165033,-61134,-27.030468636007903
"TOTAL",178559219,790,226024,-143,-0.06322761499246132
