"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3475885,11,315990,11923,3.9211752672930635
"Alaska",304067,1,304067,0,0.0
"Arizona",1787620,6,297937,-6130,-2.0160030519589434
"Arkansas",1942303,6,323717,19650,6.462391512396939
"California",20098863,66,304528,461,0.15161132250457957
"Colorado",2226771,7,318110,14043,4.618390025882454
"Connecticut",3050693,10,305069,1002,0.3295326358993248
"Delaware",551928,2,275964,-28103,-9.242370924829068
"Florida",6855702,23,298074,-5993,-1.9709471925595345
"Georgia",4627306,15,308487,4420,1.4536269966816524
"Hawaii",784901,3,261634,-42433,-13.955148043029991
"Idaho",719921,2,359960,55893,18.381804010300364
"Illinois",11184320,37,302279,-1788,-0.5880282963952024
"Indiana",5228156,17,307539,3472,1.1418536046331893
"Iowa",2846920,9,316324,12257,4.0310194792595055
"Kansas",2265846,7,323692,19625,6.454169640243762
"Kentucky",3246481,11,295135,-8932,-2.9375104828869953
"Louisiana",3672008,12,306001,1934,0.6360440297697546
"Maine",1006320,3,335440,31373,10.317791802464589
"Maryland",3953698,13,304131,64,0.021047992712132525
"Massachusetts",5726676,19,301404,-2663,-0.8757938217563892
"Michigan",8937196,29,308179,4112,1.3523335317545147
"Minnesota",3833173,13,294859,-9208,-3.028279951458067
"Mississippi",2233848,7,319121,15054,4.9508825357569215
"Missouri",4718034,16,294877,-9190,-3.02236020350778
"Montana",701573,2,350786,46719,15.364705804970615
"Nebraska",1496820,5,299364,-4703,-1.5466985894556136
"Nevada",492396,2,246198,-57869,-19.031660785287453
"New Hampshire",746284,3,248761,-55306,-18.188754452143773
"New Jersey",7208035,24,300335,-3732,-1.2273610750262278
"New Mexico",1026664,3,342221,38154,12.547892405292254
"New York",18338055,60,305634,1567,0.5153469465611197
"North Carolina",5125230,17,301484,-2583,-0.8494838308662236
"North Dakota",624181,2,312090,8023,2.638563211397488
"Ohio",10730200,35,306577,2510,0.8254759641789474
"Oklahoma",2585486,9,287276,-16791,-5.522138212959644
"Oregon",2110810,7,301544,-2523,-0.8297513376985994
"Pennsylvania",11884314,39,304726,659,0.21672854995773957
"Rhode Island",957798,3,319266,15199,4.998569394245347
"South Carolina",2617320,9,290813,-13254,-4.358907740728195
"South Dakota",673247,2,336624,32557,10.70717966763904
"Tennessee",3961060,13,304697,630,0.2071911782600545
"Texas",11298787,37,305373,1306,0.4295106012819543
"Utah",1067810,4,266952,-37115,-12.206191398606228
"Vermont",448327,2,224164,-79903,-26.278090026211327
"Virginia",4690742,15,312716,8649,2.844438890113034
"Washington",3443487,11,313044,8977,2.9523098527627134
"West Virginia",1763331,6,293888,-10179,-3.3476174658874522
"Wisconsin",4447013,15,296468,-7599,-2.49912025967961
"Wyoming",335719,1,335719,31652,10.409547895694041
"District of Columbia",762971,3,254324,-49743,-16.359223460618878
"TOTAL",204816296,674,303882,-185,-0.06084185393350807
