"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3061743,24,127573,-1070,-0.8317592095955473
"Arizona",749587,6,124931,-3712,-2.885504846746422
"Arkansas",1909511,15,127301,-1342,-1.0431970647450697
"California",10586223,82,129100,457,0.3552466904534254
"Colorado",1325089,10,132509,3866,3.0052159853237255
"Connecticut",2007280,16,125455,-3188,-2.478176037561313
"Delaware",318085,3,106028,-22615,-17.579658434582527
"Florida",2771305,22,125968,-2675,-2.0793980239888685
"Georgia",3444578,27,127577,-1066,-0.8286498293727603
"Idaho",588637,5,117727,-10916,-8.485498627985976
"Illinois",8712176,68,128120,-523,-0.4065514641294124
"Indiana",3934224,31,126910,-1733,-1.347138981522508
"Iowa",2621073,20,131054,2411,1.8741789292849202
"Kansas",1905299,15,127020,-1623,-1.2616310253958631
"Kentucky",2944806,23,128035,-608,-0.4726257938636381
"Louisiana",2683516,21,127786,-857,-0.6661847127321346
"Maine",913774,7,130539,1896,1.473846225601082
"Maryland",2343001,18,130167,1524,1.1846738648818824
"Massachusetts",4690514,36,130292,1649,1.2818419968439791
"Michigan",6371766,49,130036,1393,1.0828416625856052
"Minnesota",2982483,23,129673,1030,0.8006654073676764
"Mississippi",2178914,17,128171,-472,-0.366906866288877
"Missouri",3954653,31,127569,-1074,-0.8348685898183346
"Montana",591024,5,118205,-10438,-8.11392769136292
"Nebraska",1325510,10,132551,3908,3.03786447766299
"Nevada",160083,1,160083,31440,24.43972855110655
"New Hampshire",533242,4,133310,4667,3.6278693749368407
"New Jersey",4835329,38,127246,-1397,-1.0859510428083923
"New Mexico",681187,5,136237,7594,5.903158352961296
"New York",14830192,115,128958,315,0.2448636925444836
"North Carolina",4061929,32,126935,-1708,-1.3277053551300888
"North Dakota",619636,5,123927,-4716,-3.665959282665983
"Ohio",7946627,62,128171,-472,-0.366906866288877
"Oklahoma",2233351,17,131374,2731,2.122929347107888
"Oregon",1521341,12,126778,-1865,-1.449748528874482
"Pennsylvania",10498012,81,129605,962,0.7478059435802958
"Rhode Island",791896,6,131983,3340,2.5963324860272228
"South Carolina",2117027,16,132314,3671,2.8536336994628546
"South Dakota",652740,5,130548,1905,1.480842331102353
"Tennessee",3291718,26,126605,-2038,-1.584229223510024
"Texas",7711194,60,128520,-123,-0.09561344185070311
"Utah",688862,5,137772,9129,7.096383013455842
"Vermont",377747,3,125916,-2727,-2.1198199668851005
"Virginia",3318680,26,127642,-1001,-0.7781224007524701
"Washington",2378963,18,132165,3522,2.737809286164035
"West Virginia",2005552,16,125347,-3296,-2.562129303576565
"Wisconsin",3434575,27,127206,-1437,-1.1170448450362631
"Wyoming",290529,2,145264,16621,12.920252170736068
"Alaska",128643,1,128643,0,0.0
"Hawaii",499794,4,124948,-3695,-2.872289980799577
"District of Columbia",802178,6,133696,5053,3.9279245664357956
"Puerto Rico",2210703,17,130041,1398,1.086728387864089
"TOTAL",153536501,1194,128590,-53,-0.04119928795192898
