"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",3890061,10,389006,-11475,-2.8653044713731735
"Alaska",400481,1,400481,0,0.0
"Arizona",2717866,7,388267,-12214,-3.049832576326967
"Arkansas",2285513,6,380919,-19562,-4.8846262369500675
"California",23668562,59,401162,681,0.17004552026188507
"Colorado",2888834,7,412691,12210,3.048833777382697
"Connecticut",3107576,8,388447,-12034,-3.004886623834839
"Delaware",595225,2,297612,-102869,-25.686362149515208
"Florida",9739992,24,405833,5352,1.3363929874326121
"Georgia",5464265,14,390305,-10176,-2.5409445142216485
"Hawaii",965000,2,482500,82019,20.480122652510357
"Idaho",943935,2,471968,71487,17.85028503224872
"Illinois",11418461,28,407802,7321,1.8280517677492816
"Indiana",5490179,14,392156,-8325,-2.07875030276093
"Iowa",2913387,7,416198,15717,3.924530751770995
"Kansas",2363208,6,393868,-6613,-1.6512643546135772
"Kentucky",3661433,9,406826,6345,1.5843448253475194
"Louisiana",4203972,10,420397,19916,4.97301994351792
"Maine",1124660,3,374887,-25594,-6.390815044908497
"Maryland",4216446,11,383313,-17168,-4.286845068804762
"Massachusetts",5737037,14,409788,9307,2.3239554435790963
"Michigan",9258344,23,402537,2056,0.5133826573545313
"Minnesota",4077148,10,407715,7234,1.8063278907114195
"Mississippi",2520638,6,420106,19625,4.900357320322312
"Missouri",4917444,12,409787,9306,2.323705743843029
"Montana",786690,2,393345,-7136,-1.7818573165768163
"Nebraska",1570006,4,392502,-7979,-1.9923541940816167
"Nevada",799184,2,399592,-889,-0.22198306536389992
"New Hampshire",920610,2,460305,59824,14.938037010494881
"New Jersey",7364158,18,409120,8639,2.157156019886087
"New Mexico",1299968,3,433323,32842,8.20063873192486
"New York",17557288,44,399029,-1452,-0.3625640167698343
"North Carolina",5874429,15,391629,-8852,-2.2103420636684388
"North Dakota",652695,2,326348,-74133,-18.510990533883007
"Ohio",10797419,27,399904,-577,-0.14407674771087767
"Oklahoma",3025266,8,378158,-22323,-5.574047208232101
"Oregon",2632663,7,376095,-24386,-6.089177763739103
"Pennsylvania",11866728,30,395558,-4923,-1.2292718006597068
"Rhode Island",947154,2,473577,73096,18.252051907581134
"South Carolina",3119208,8,389901,-10580,-2.6418232075928696
"South Dakota",690178,2,345089,-55392,-13.831367780244255
"Tennessee",4590750,11,417341,16860,4.20993755009601
"Texas",14228383,36,395233,-5248,-1.3104242148816048
"Utah",1461037,4,365259,-35222,-8.794924103765222
"Vermont",511456,1,511456,110975,27.71042821007738
"Virginia",5346279,13,411252,10771,2.689515857181739
"Washington",4130163,10,413016,12535,3.1299861916045955
"West Virginia",1949644,5,389929,-10552,-2.634831614982983
"Wisconsin",4705335,12,392111,-8370,-2.089986790883962
"Wyoming",470816,1,470816,70335,17.5626309362991
"Puerto Rico",3196520,8,399565,-916,-0.22872495823771916
"TOTAL",229063694,572,400461,-20,-0.00499399472134758
