"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",5030053,9,558895,-18824,-3.258331472567113
"Arizona",7158923,12,596577,18858,3.264216686659085
"Arkansas",3013756,5,602751,25032,4.3329023279483625
"California",39576757,69,573576,-4143,-0.7171306465600058
"Colorado",5782171,10,578217,498,0.08620107699417884
"Connecticut",3608298,6,601383,23664,4.096109008012546
"Delaware",990837,2,495418,-82301,-14.24585308774681
"Florida",21570527,37,582987,5268,0.9118619951914338
"Georgia",10725274,19,564488,-13231,-2.290213754437711
"Idaho",1841377,3,613792,36073,6.244039057050227
"Illinois",12822739,22,582852,5133,0.8884942333556625
"Indiana",6790280,12,565857,-11862,-2.053247339969778
"Iowa",3192406,6,532068,-45651,-7.901938485665176
"Kansas",2940865,5,588173,10454,1.8095302387492882
"Kentucky",4509342,8,563668,-14051,-2.4321512707735073
"Louisiana",4661468,8,582684,4965,0.8594143519600359
"Maine",1363582,2,681791,104072,18.014294146462206
"Maryland",6185278,11,562298,-15421,-2.669290779773558
"Massachusetts",7033469,12,586122,8403,1.4545133533776802
"Michigan",10084442,18,560247,-17472,-3.024307665145166
"Minnesota",5709752,10,570975,-6744,-1.1673495245958676
"Mississippi",2963914,5,592783,15064,2.6074960318078513
"Missouri",6160281,11,560026,-17693,-3.0625615567429842
"Montana",1085407,2,542704,-35015,-6.060905042070626
"Nebraska",1963333,3,654444,76725,13.280677976663396
"Nevada",3108462,5,621692,43973,7.611485860773144
"New Hampshire",1379089,2,689544,111825,19.356296053963952
"New Jersey",9294493,16,580906,3187,0.5516522738563212
"New Mexico",2120220,4,530055,-47664,-8.250377778816345
"New York",20215751,35,577593,-126,-0.021809911046719945
"North Carolina",10453948,18,580775,3056,0.528976890149017
"North Dakota",779702,1,779702,201983,34.96215288055266
"Ohio",11808848,20,590442,12723,2.202281732122364
"Oklahoma",3963516,7,566217,-11502,-1.9909333084077208
"Oregon",4241500,7,605929,28210,4.882996751015632
"Pennsylvania",13011844,23,565732,-11987,-2.074884156484381
"Rhode Island",1098163,2,549082,-28637,-4.956908116229516
"South Carolina",5124712,9,569412,-8307,-1.437896278294465
"South Dakota",887770,2,443885,-133834,-23.165933611323155
"Tennessee",6916897,12,576408,-1311,-0.2269269316051575
"Texas",29183290,51,572221,-5498,-0.9516737375783035
"Utah",3275252,6,545875,-31844,-5.512022280728174
"Vermont",643503,1,643503,65784,11.386850700773213
"Virginia",8654542,15,576969,-750,-0.12982089908761874
"Washington",7715946,13,593534,15815,2.737490025427587
"West Virginia",1795045,3,598348,20629,3.570767103037982
"Wisconsin",5897473,10,589747,12028,2.0819810323011705
"Wyoming",577719,1,577719,0,0.0
"TOTAL",328912216,570,577039,-680,-0.11770428183944097
